KetQuaHocTapKey,SinhVienKey,KhoaKey,NganhKey,LopKey,MonHocKey,HocKyKey,GiangVienKey,DiemChuyenCan,DiemGiuaKy,DiemCuoiKy,DiemTongKet,DiemHe4,DiemChu,KetQua,SoTinChiDangKy,SoTinChiDat,SoTinChiKhongDat,LanHoc
42,2,1,1,1,12,3,7,7.6,7.6,6.3,6.7,2.0,C,Đạt,3,3,0,1
43,2,1,1,1,13,4,3,7.5,8.7,8.2,8.2,3.0,B,Đạt,3,3,0,1
44,2,1,1,1,14,4,7,6.4,5.2,7.3,6.8,2.0,C,Đạt,3,3,0,1
45,2,1,1,1,15,4,1,6.0,6.1,6.3,6.2,2.0,C,Đạt,3,3,0,1
46,2,1,1,1,16,4,2,7.1,7.8,7.6,7.6,3.0,B,Đạt,3,3,0,1
47,2,1,1,1,17,5,2,9.7,9.0,8.5,8.7,4.0,A,Đạt,3,3,0,1
48,2,1,1,1,18,5,2,9.4,7.4,8.8,8.6,4.0,A,Đạt,3,3,0,1
49,2,1,1,1,19,5,9,9.0,8.1,6.9,7.4,3.0,B,Đạt,3,3,0,1
50,2,1,1,1,20,5,7,7.2,7.5,5.4,6.0,2.0,C,Đạt,3,3,0,1
51,2,1,1,1,21,6,8,4.6,2.6,3.8,3.6,0.0,F,Không đạt,3,0,3,1
52,2,1,1,1,22,6,7,9.0,9.1,8.0,8.3,3.0,B,Đạt,3,3,0,1
53,2,1,1,1,23,6,1,9.3,8.7,8.7,8.8,4.0,A,Đạt,3,3,0,1
54,2,1,1,1,24,6,9,8.3,6.1,8.5,8.0,3.0,B,Đạt,2,2,0,1
55,2,1,1,1,25,7,8,4.4,7.3,4.8,5.2,1.0,D,Đạt,3,3,0,1
56,2,1,1,1,26,7,7,9.5,10.0,8.9,9.2,4.0,A,Đạt,2,2,0,1
57,2,1,1,1,27,7,6,6.8,7.7,7.6,7.5,3.0,B,Đạt,4,4,0,1
58,2,1,1,1,28,7,12,6.1,6.2,6.0,6.0,2.0,C,Đạt,2,2,0,1
59,2,1,1,1,29,8,10,7.7,9.0,7.9,8.1,3.0,B,Đạt,6,6,0,1
60,2,1,1,1,30,8,5,7.1,7.3,6.6,6.8,2.0,C,Đạt,2,2,0,1
61,3,1,1,1,1,1,7,8.9,8.6,8.5,8.6,4.0,A,Đạt,3,3,0,1
62,3,1,1,1,2,1,7,8.0,7.5,8.8,8.5,4.0,A,Đạt,3,3,0,1
63,3,1,1,1,3,1,12,6.7,6.4,6.2,6.3,2.0,C,Đạt,3,3,0,1
64,3,1,1,1,4,1,4,8.6,7.4,7.8,7.8,3.0,B,Đạt,2,2,0,1
65,3,1,1,1,5,2,1,10.0,9.0,9.0,9.1,4.0,A,Đạt,3,3,0,1
66,3,1,1,1,6,2,3,7.3,7.2,7.0,7.0,3.0,B,Đạt,3,3,0,1
67,3,1,1,1,7,2,3,1.4,2.7,3.0,2.8,0.0,F,Không đạt,3,0,3,1
68,3,1,1,1,8,2,5,10.0,10.0,9.2,9.4,4.0,A,Đạt,3,3,0,1
69,3,1,1,1,9,3,10,3.5,3.4,2.4,2.7,0.0,F,Không đạt,3,0,3,1
70,3,1,1,1,10,3,12,7.2,9.1,6.2,6.9,2.0,C,Đạt,3,3,0,1
71,3,1,1,1,11,3,4,9.4,8.0,9.0,8.8,4.0,A,Đạt,3,3,0,1
72,3,1,1,1,12,3,9,5.6,6.3,6.4,6.3,2.0,C,Đạt,3,3,0,1
73,3,1,1,1,13,4,8,8.4,8.9,7.4,7.8,3.0,B,Đạt,3,3,0,1
74,3,1,1,1,14,4,4,7.9,7.5,8.3,8.1,3.0,B,Đạt,3,3,0,1
75,3,1,1,1,15,4,1,9.3,8.2,7.3,7.7,3.0,B,Đạt,3,3,0,1
76,3,1,1,1,16,4,4,8.5,9.3,6.9,7.5,3.0,B,Đạt,3,3,0,1
77,3,1,1,1,17,5,7,9.9,7.4,8.8,8.6,4.0,A,Đạt,3,3,0,1
78,3,1,1,1,18,5,3,10.0,8.7,9.0,9.0,4.0,A,Đạt,3,3,0,1
79,3,1,1,1,19,5,9,8.6,8.1,7.9,8.0,3.0,B,Đạt,3,3,0,1
80,3,1,1,1,20,5,8,9.1,8.1,8.1,8.2,3.0,B,Đạt,3,3,0,1
81,3,1,1,1,21,6,1,6.3,6.3,6.0,6.1,2.0,C,Đạt,3,3,0,1
82,3,1,1,1,22,6,9,6.1,7.5,5.6,6.0,2.0,C,Đạt,3,3,0,1
83,3,1,1,1,23,6,5,9.6,8.2,8.6,8.6,4.0,A,Đạt,3,3,0,1
84,3,1,1,1,24,6,2,8.9,7.1,8.0,7.9,3.0,B,Đạt,2,2,0,1
85,3,1,1,1,25,7,4,8.5,8.8,7.6,7.9,3.0,B,Đạt,3,3,0,1
86,3,1,1,1,26,7,9,10.0,10.0,9.7,9.8,4.0,A,Đạt,2,2,0,1
87,3,1,1,1,27,7,8,8.5,9.0,8.1,8.3,3.0,B,Đạt,4,4,0,1
88,3,1,1,1,28,7,4,8.0,6.5,7.6,7.4,3.0,B,Đạt,2,2,0,1
89,3,1,1,1,29,8,2,6.7,6.6,5.8,6.1,2.0,C,Đạt,6,6,0,1
90,3,1,1,1,30,8,11,7.0,7.3,8.5,8.1,3.0,B,Đạt,2,2,0,1
91,4,1,1,1,1,1,2,10.0,8.0,9.7,9.4,4.0,A,Đạt,3,3,0,1
92,4,1,1,1,2,1,7,8.2,8.3,8.1,8.2,3.0,B,Đạt,3,3,0,1
93,4,1,1,1,3,1,4,8.7,9.4,8.0,8.3,3.0,B,Đạt,3,3,0,1
94,4,1,1,1,4,1,7,9.2,10.0,8.6,8.9,4.0,A,Đạt,2,2,0,1
95,4,1,1,1,5,2,10,10.0,9.6,9.0,9.2,4.0,A,Đạt,3,3,0,1
96,4,1,1,1,6,2,2,8.0,6.4,8.3,7.9,3.0,B,Đạt,3,3,0,1
97,4,1,1,1,7,2,5,9.8,8.8,7.1,7.7,3.0,B,Đạt,3,3,0,1
98,4,1,1,1,8,2,12,8.2,8.0,7.8,7.8,3.0,B,Đạt,3,3,0,1
99,4,1,1,1,9,3,3,6.2,6.2,6.7,6.5,2.0,C,Đạt,3,3,0,1
100,4,1,1,1,10,3,9,9.0,6.9,7.8,7.8,3.0,B,Đạt,3,3,0,1
101,4,1,1,1,11,3,1,10.0,8.7,7.1,7.7,3.0,B,Đạt,3,3,0,1
102,4,1,1,1,12,3,7,10.0,8.6,9.7,9.5,4.0,A,Đạt,3,3,0,1
103,4,1,1,1,13,4,11,7.5,6.0,6.8,6.7,2.0,C,Đạt,3,3,0,1
104,4,1,1,1,14,4,5,9.4,5.8,8.9,8.3,3.0,B,Đạt,3,3,0,1
105,4,1,1,1,15,4,9,10.0,10.0,9.0,9.3,4.0,A,Đạt,3,3,0,1
106,4,1,1,1,16,4,6,6.9,7.2,8.1,7.8,3.0,B,Đạt,3,3,0,1
107,4,1,1,1,17,5,8,7.1,8.1,7.6,7.6,3.0,B,Đạt,3,3,0,1
108,4,1,1,1,18,5,8,7.4,6.7,7.2,7.1,3.0,B,Đạt,3,3,0,1
109,4,1,1,1,19,5,5,8.1,7.3,7.5,7.5,3.0,B,Đạt,3,3,0,1
110,4,1,1,1,20,5,7,8.4,6.1,8.7,8.1,3.0,B,Đạt,3,3,0,1
111,4,1,1,1,21,6,7,8.6,8.3,6.5,7.1,3.0,B,Đạt,3,3,0,1
112,4,1,1,1,22,6,9,5.1,6.4,6.1,6.0,2.0,C,Đạt,3,3,0,1
113,4,1,1,1,23,6,6,5.6,1.4,4.1,3.5,0.0,F,Không đạt,3,0,3,1
114,4,1,1,1,24,6,9,8.4,8.3,7.1,7.4,3.0,B,Đạt,2,2,0,1
115,4,1,1,1,25,7,12,10.0,9.7,8.7,9.0,4.0,A,Đạt,3,3,0,1
116,4,1,1,1,26,7,1,9.8,8.1,8.0,8.2,3.0,B,Đạt,2,2,0,1
117,4,1,1,1,27,7,7,7.7,7.0,6.8,6.9,2.0,C,Đạt,4,4,0,1
118,4,1,1,1,28,7,8,9.5,9.5,9.7,9.6,4.0,A,Đạt,2,2,0,1
119,4,1,1,1,29,8,1,8.4,8.8,8.0,8.2,3.0,B,Đạt,6,6,0,1
120,4,1,1,1,30,8,9,10.0,8.7,8.9,8.9,4.0,A,Đạt,2,2,0,1
121,5,1,1,1,1,1,6,8.5,6.8,7.1,7.2,3.0,B,Đạt,3,3,0,1
122,5,1,1,1,2,1,7,10.0,10.0,9.6,9.7,4.0,A,Đạt,3,3,0,1
123,5,1,1,1,3,1,3,9.6,7.8,8.0,8.1,3.0,B,Đạt,3,3,0,1
124,5,1,1,1,4,1,3,10.0,10.0,8.7,9.1,4.0,A,Đạt,2,2,0,1
125,5,1,1,1,5,2,3,10.0,10.0,8.4,8.9,4.0,A,Đạt,3,3,0,1
126,5,1,1,1,6,2,6,10.0,9.4,9.4,9.5,4.0,A,Đạt,3,3,0,1
127,5,1,1,1,7,2,1,10.0,9.9,8.2,8.7,4.0,A,Đạt,3,3,0,1
128,5,1,1,1,8,2,11,6.3,8.5,6.7,7.0,3.0,B,Đạt,3,3,0,1
129,5,1,1,1,9,3,9,9.2,7.1,8.3,8.2,3.0,B,Đạt,3,3,0,1
130,5,1,1,1,10,3,3,9.1,9.6,8.7,8.9,4.0,A,Đạt,3,3,0,1
131,5,1,1,1,11,3,12,8.4,8.1,8.1,8.2,3.0,B,Đạt,3,3,0,1
132,5,1,1,1,12,3,8,6.5,7.5,5.9,6.3,2.0,C,Đạt,3,3,0,1
133,5,1,1,1,13,4,3,7.6,6.9,6.6,6.8,2.0,C,Đạt,3,3,0,1
134,5,1,1,1,14,4,12,9.0,8.7,8.7,8.7,4.0,A,Đạt,3,3,0,1
135,5,1,1,1,15,4,12,8.3,8.0,8.1,8.1,3.0,B,Đạt,3,3,0,1
136,5,1,1,1,16,4,7,3.7,3.3,2.7,3.2,0.0,F,Không đạt,3,0,3,1
137,5,1,1,1,17,5,9,8.0,8.9,8.3,8.4,3.0,B,Đạt,3,3,0,1
138,5,1,1,1,18,5,2,8.2,6.1,7.9,7.6,3.0,B,Đạt,3,3,0,1
139,5,1,1,1,19,5,11,9.0,7.4,8.3,8.2,3.0,B,Đạt,3,3,0,1
140,5,1,1,1,20,5,5,8.3,8.3,7.9,8.0,3.0,B,Đạt,3,3,0,1
141,5,1,1,1,21,6,5,8.9,8.8,8.8,8.8,4.0,A,Đạt,3,3,0,1
142,5,1,1,1,22,6,1,9.4,7.8,8.9,8.7,4.0,A,Đạt,3,3,0,1
143,5,1,1,1,23,6,11,8.2,7.7,8.0,8.0,3.0,B,Đạt,3,3,0,1
144,5,1,1,1,24,6,12,8.9,7.2,8.3,8.1,3.0,B,Đạt,2,2,0,1
145,5,1,1,1,25,7,12,9.5,9.5,7.8,8.3,3.0,B,Đạt,3,3,0,1
146,5,1,1,1,26,7,12,8.5,8.0,7.5,7.7,3.0,B,Đạt,2,2,0,1
147,5,1,1,1,27,7,7,7.8,8.2,9.1,8.8,4.0,A,Đạt,4,4,0,1
148,5,1,1,1,28,7,9,9.3,7.8,8.3,8.3,3.0,B,Đạt,2,2,0,1
149,5,1,1,1,29,8,1,8.2,8.4,7.4,7.7,3.0,B,Đạt,6,6,0,1
150,5,1,1,1,30,8,2,9.7,8.9,8.7,8.9,4.0,A,Đạt,2,2,0,1
151,6,1,1,1,1,1,1,7.1,8.7,8.4,8.3,3.0,B,Đạt,3,3,0,1
152,6,1,1,1,2,1,5,7.6,9.8,7.5,8.0,3.0,B,Đạt,3,3,0,1
153,6,1,1,1,3,1,2,9.4,8.5,8.1,8.3,3.0,B,Đạt,3,3,0,1
154,6,1,1,1,4,1,6,9.2,8.5,8.4,8.5,4.0,A,Đạt,2,2,0,1
155,6,1,1,1,5,2,6,9.7,8.4,7.5,7.9,3.0,B,Đạt,3,3,0,1
156,6,1,1,1,6,2,4,7.3,8.1,7.7,7.8,3.0,B,Đạt,3,3,0,1
157,6,1,1,1,7,2,4,8.6,6.9,6.3,6.7,2.0,C,Đạt,3,3,0,1
158,6,1,1,1,8,2,2,8.7,8.9,8.3,8.5,4.0,A,Đạt,3,3,0,1
159,6,1,1,1,9,3,11,10.0,9.9,9.9,9.9,4.0,A,Đạt,3,3,0,1
160,6,1,1,1,10,3,2,8.0,8.1,7.9,7.9,3.0,B,Đạt,3,3,0,1
161,6,1,1,1,11,3,9,9.2,9.6,8.3,8.6,4.0,A,Đạt,3,3,0,1
162,6,1,1,1,12,3,12,9.0,6.5,7.1,7.2,3.0,B,Đạt,3,3,0,1
163,6,1,1,1,13,4,8,10.0,9.4,9.3,9.4,4.0,A,Đạt,3,3,0,1
164,6,1,1,1,14,4,11,6.3,8.4,7.7,7.7,3.0,B,Đạt,3,3,0,1
165,6,1,1,1,15,4,3,10.0,10.0,9.3,9.5,4.0,A,Đạt,3,3,0,1
166,6,1,1,1,16,4,2,10.0,10.0,9.5,9.6,4.0,A,Đạt,3,3,0,1
167,6,1,1,1,17,5,1,10.0,9.5,9.5,9.5,4.0,A,Đạt,3,3,0,1
168,6,1,1,1,18,5,9,7.8,7.7,7.5,7.6,3.0,B,Đạt,3,3,0,1
169,6,1,1,1,19,5,1,6.7,8.2,9.3,8.8,4.0,A,Đạt,3,3,0,1
170,6,1,1,1,20,5,9,8.6,8.3,8.2,8.3,3.0,B,Đạt,3,3,0,1
171,6,1,1,1,21,6,4,8.6,7.4,7.2,7.4,3.0,B,Đạt,3,3,0,1
172,6,1,1,1,22,6,8,10.0,8.5,10.0,9.7,4.0,A,Đạt,3,3,0,1
173,6,1,1,1,23,6,7,6.9,8.0,6.4,6.8,2.0,C,Đạt,3,3,0,1
174,6,1,1,1,24,6,10,8.3,9.7,7.5,8.0,3.0,B,Đạt,2,2,0,1
175,6,1,1,1,25,7,2,8.9,8.7,8.7,8.7,4.0,A,Đạt,3,3,0,1
176,6,1,1,1,26,7,4,8.0,8.5,8.0,8.1,3.0,B,Đạt,2,2,0,1
177,6,1,1,1,27,7,2,8.0,9.0,8.9,8.8,4.0,A,Đạt,4,4,0,1
178,6,1,1,1,28,7,9,10.0,9.4,9.4,9.5,4.0,A,Đạt,2,2,0,1
179,6,1,1,1,29,8,7,8.4,8.6,7.6,7.9,3.0,B,Đạt,6,6,0,1
180,6,1,1,1,30,8,11,9.5,7.0,6.9,7.2,3.0,B,Đạt,2,2,0,1
181,7,1,1,1,1,1,4,7.2,7.9,8.8,8.5,4.0,A,Đạt,3,3,0,1
182,7,1,1,1,2,1,9,9.5,10.0,10.0,9.9,4.0,A,Đạt,3,3,0,1
183,7,1,1,1,3,1,8,6.0,5.7,6.3,6.2,2.0,C,Đạt,3,3,0,1
184,7,1,1,1,4,1,1,8.7,8.7,9.8,9.4,4.0,A,Đạt,2,2,0,1
185,7,1,1,1,5,2,10,8.0,10.0,7.4,8.0,3.0,B,Đạt,3,3,0,1
186,7,1,1,1,6,2,11,3.0,3.5,2.7,2.9,0.0,F,Không đạt,3,0,3,1
187,7,1,1,1,7,2,1,6.4,8.1,6.5,6.8,2.0,C,Đạt,3,3,0,1
188,7,1,1,1,8,2,6,6.5,7.2,6.3,6.5,2.0,C,Đạt,3,3,0,1
189,7,1,1,1,9,3,4,8.5,9.4,6.9,7.5,3.0,B,Đạt,3,3,0,1
190,7,1,1,1,10,3,4,8.6,8.8,7.5,7.9,3.0,B,Đạt,3,3,0,1
191,7,1,1,1,11,3,5,5.3,8.1,6.0,6.3,2.0,C,Đạt,3,3,0,1
192,7,1,1,1,12,3,2,9.1,8.5,7.9,8.1,3.0,B,Đạt,3,3,0,1
193,7,1,1,1,13,4,7,8.2,9.3,7.9,8.2,3.0,B,Đạt,3,3,0,1
194,7,1,1,1,14,4,2,7.6,9.8,8.4,8.6,4.0,A,Đạt,3,3,0,1
195,7,1,1,1,15,4,10,10.0,9.1,9.4,9.4,4.0,A,Đạt,3,3,0,1
196,7,1,1,1,16,4,3,9.5,9.0,8.3,8.6,4.0,A,Đạt,3,3,0,1
197,7,1,1,1,17,5,6,7.0,7.7,7.5,7.5,3.0,B,Đạt,3,3,0,1
198,7,1,1,1,18,5,8,10.0,8.9,9.3,9.3,4.0,A,Đạt,3,3,0,1
199,7,1,1,1,19,5,12,5.0,5.1,5.5,5.3,1.0,D,Đạt,3,3,0,1
200,7,1,1,1,20,5,3,9.3,9.5,9.5,9.5,4.0,A,Đạt,3,3,0,1
201,7,1,1,1,21,6,7,9.8,6.8,7.6,7.7,3.0,B,Đạt,3,3,0,1
202,7,1,1,1,22,6,8,7.2,7.8,7.6,7.6,3.0,B,Đạt,3,3,0,1
203,7,1,1,1,23,6,9,8.3,4.7,8.6,7.8,3.0,B,Đạt,3,3,0,1
204,7,1,1,1,24,6,11,7.5,6.4,6.9,6.9,2.0,C,Đạt,2,2,0,1
205,7,1,1,1,25,7,6,6.4,7.0,7.1,7.0,3.0,B,Đạt,3,3,0,1
206,7,1,1,1,26,7,7,8.5,8.1,7.2,7.5,3.0,B,Đạt,2,2,0,1
207,7,1,1,1,27,7,9,8.3,9.0,8.7,8.7,4.0,A,Đạt,4,4,0,1
208,7,1,1,1,28,7,3,10.0,8.5,9.7,9.5,4.0,A,Đạt,2,2,0,1
209,7,1,1,1,29,8,5,9.2,8.2,8.3,8.3,3.0,B,Đạt,6,6,0,1
210,7,1,1,1,30,8,10,9.1,8.6,8.7,8.7,4.0,A,Đạt,2,2,0,1
211,8,1,1,1,1,1,7,5.2,6.7,5.6,5.8,2.0,C,Đạt,3,3,0,1
212,8,1,1,1,2,1,4,7.5,6.8,7.1,7.1,3.0,B,Đạt,3,3,0,1
213,8,1,1,1,3,1,10,7.5,5.8,7.5,7.2,3.0,B,Đạt,3,3,0,1
214,8,1,1,1,4,1,10,7.8,10.0,6.9,7.6,3.0,B,Đạt,2,2,0,1
215,8,1,1,1,5,2,3,10.0,8.7,8.9,8.9,4.0,A,Đạt,3,3,0,1
216,8,1,1,1,6,2,8,2.0,1.6,1.2,1.3,0.0,F,Không đạt,3,0,3,1
217,8,1,1,1,7,2,3,3.6,2.4,2.4,2.5,0.0,F,Không đạt,3,0,3,1
218,8,1,1,1,8,2,6,6.9,6.6,7.4,7.2,3.0,B,Đạt,3,3,0,1
219,8,1,1,1,9,3,10,2.5,2.8,1.8,2.1,0.0,F,Không đạt,3,0,3,1
220,8,1,1,1,10,3,6,6.3,6.3,4.5,5.0,1.0,D,Đạt,3,3,0,1
221,8,1,1,1,11,3,8,6.2,6.0,7.4,7.0,3.0,B,Đạt,3,3,0,1
222,8,1,1,1,12,3,6,6.9,5.7,7.2,6.9,2.0,C,Đạt,3,3,0,1
223,8,1,1,1,13,4,3,6.3,7.1,6.9,6.9,2.0,C,Đạt,3,3,0,1
224,8,1,1,1,14,4,10,7.8,7.7,7.7,7.7,3.0,B,Đạt,3,3,0,1
225,8,1,1,1,15,4,7,7.6,7.2,6.8,6.9,2.0,C,Đạt,3,3,0,1
226,8,1,1,1,16,4,5,6.5,7.4,6.6,6.8,2.0,C,Đạt,3,3,0,1
227,8,1,1,1,17,5,1,9.1,7.3,7.7,7.7,3.0,B,Đạt,3,3,0,1
228,8,1,1,1,18,5,5,8.0,7.1,6.8,7.0,3.0,B,Đạt,3,3,0,1
229,8,1,1,1,19,5,9,5.9,7.0,4.8,5.3,1.0,D,Đạt,3,3,0,1
230,8,1,1,1,20,5,12,8.0,8.2,6.9,7.3,3.0,B,Đạt,3,3,0,1
231,8,1,1,1,21,6,10,7.5,7.8,6.6,6.9,2.0,C,Đạt,3,3,0,1
232,8,1,1,1,22,6,2,7.5,7.8,7.9,7.9,3.0,B,Đạt,3,3,0,1
233,8,1,1,1,23,6,1,8.5,7.4,7.3,7.4,3.0,B,Đạt,3,3,0,1
234,8,1,1,1,24,6,2,2.3,2.7,2.2,2.3,0.0,F,Không đạt,2,0,2,1
235,8,1,1,1,25,7,10,6.6,5.4,4.3,4.8,1.0,D,Đạt,3,3,0,1
236,8,1,1,1,26,7,12,8.5,9.9,6.7,7.6,3.0,B,Đạt,2,2,0,1
237,8,1,1,1,27,7,7,10.0,7.8,9.2,9.0,4.0,A,Đạt,4,4,0,1
238,8,1,1,1,28,7,9,9.1,8.0,7.8,8.0,3.0,B,Đạt,2,2,0,1
239,8,1,1,1,29,8,3,9.1,8.2,8.1,8.2,3.0,B,Đạt,6,6,0,1
240,8,1,1,1,30,8,7,7.3,6.4,7.5,7.3,3.0,B,Đạt,2,2,0,1
241,9,1,1,1,1,1,12,8.7,8.8,9.0,9.0,4.0,A,Đạt,3,3,0,1
242,9,1,1,1,2,1,8,8.7,10.0,7.8,8.3,3.0,B,Đạt,3,3,0,1
243,9,1,1,1,3,1,7,7.2,7.9,9.2,8.7,4.0,A,Đạt,3,3,0,1
244,9,1,1,1,4,1,5,7.9,8.8,7.7,8.0,3.0,B,Đạt,2,2,0,1
245,9,1,1,1,5,2,3,8.4,7.0,8.5,8.2,3.0,B,Đạt,3,3,0,1
246,9,1,1,1,6,2,8,2.2,0.9,2.5,2.2,0.0,F,Không đạt,3,0,3,1
247,9,1,1,1,7,2,5,9.2,7.5,7.5,7.6,3.0,B,Đạt,3,3,0,1
248,9,1,1,1,8,2,11,8.0,8.2,9.4,9.0,4.0,A,Đạt,3,3,0,1
249,9,1,1,1,9,3,12,6.7,5.9,6.4,6.3,2.0,C,Đạt,3,3,0,1
250,9,1,1,1,10,3,10,9.3,9.2,7.0,7.6,3.0,B,Đạt,3,3,0,1
251,9,1,1,1,11,3,11,9.5,7.7,8.1,8.2,3.0,B,Đạt,3,3,0,1
252,9,1,1,1,12,3,7,7.4,5.7,8.6,7.9,3.0,B,Đạt,3,3,0,1
253,9,1,1,1,13,4,1,6.2,7.7,6.5,6.7,2.0,C,Đạt,3,3,0,1
254,9,1,1,1,14,4,11,7.2,6.5,6.9,6.8,2.0,C,Đạt,3,3,0,1
255,9,1,1,1,15,4,11,8.7,7.2,9.1,8.7,4.0,A,Đạt,3,3,0,1
256,9,1,1,1,16,4,9,9.1,7.0,10.0,9.3,4.0,A,Đạt,3,3,0,1
257,9,1,1,1,17,5,1,8.0,7.8,7.3,7.5,3.0,B,Đạt,3,3,0,1
258,9,1,1,1,18,5,4,7.6,7.3,8.1,7.9,3.0,B,Đạt,3,3,0,1
259,9,1,1,1,19,5,8,10.0,8.7,8.9,9.0,4.0,A,Đạt,3,3,0,1
260,9,1,1,1,20,5,3,8.8,9.7,8.2,8.5,4.0,A,Đạt,3,3,0,1
261,9,1,1,1,21,6,1,10.0,9.1,7.3,8.0,3.0,B,Đạt,3,3,0,1
262,9,1,1,1,22,6,1,7.4,8.5,6.9,7.3,3.0,B,Đạt,3,3,0,1
263,9,1,1,1,23,6,4,8.9,7.5,8.9,8.6,4.0,A,Đạt,3,3,0,1
264,9,1,1,1,24,6,8,9.8,8.9,8.2,8.5,4.0,A,Đạt,2,2,0,1
265,9,1,1,1,25,7,12,8.4,6.7,8.4,8.1,3.0,B,Đạt,3,3,0,1
266,9,1,1,1,26,7,9,8.4,6.6,7.1,7.1,3.0,B,Đạt,2,2,0,1
267,9,1,1,1,27,7,10,7.2,8.5,7.7,7.8,3.0,B,Đạt,4,4,0,1
268,9,1,1,1,28,7,5,7.7,5.7,5.6,5.8,2.0,C,Đạt,2,2,0,1
