DiemRenLuyenKey,SinhVienKey,KhoaKey,NganhKey,LopKey,HocKyKey,DiemYThucHocTap,DiemChapHanhNoiQuy,DiemHoatDongPhongTrao,DiemCongDong,DiemTongRenLuyen,XepLoaiRenLuyenKey
79,10,1,1,1,7,28,22,23,14,87,2
80,10,1,1,1,8,25,17,18,19,79,3
81,11,1,1,1,1,23,19,25,20,87,2
82,11,1,1,1,2,19,14,13,16,62,4
83,11,1,1,1,3,22,20,14,15,71,3
84,11,1,1,1,4,24,20,23,16,83,2
85,11,1,1,1,5,20,18,19,17,74,3
86,11,1,1,1,6,28,20,25,14,87,2
87,11,1,1,1,7,24,19,14,20,77,3
88,11,1,1,1,8,23,17,20,17,77,3
89,12,1,1,1,1,27,20,23,20,90,1
90,12,1,1,1,2,22,17,17,16,72,3
91,12,1,1,1,3,22,17,20,15,74,3
92,12,1,1,1,4,23,17,14,14,68,3
93,12,1,1,1,5,24,19,21,10,74,3
94,12,1,1,1,6,25,19,13,16,73,3
95,12,1,1,1,7,22,18,15,19,74,3
96,12,1,1,1,8,21,23,15,15,74,3
97,13,1,1,1,1,27,18,17,20,82,2
98,13,1,1,1,2,23,21,19,13,76,3
99,13,1,1,1,3,24,16,16,12,68,3
100,13,1,1,1,4,21,14,19,19,73,3
101,13,1,1,1,5,20,19,14,19,72,3
102,13,1,1,1,6,23,23,17,18,81,2
103,13,1,1,1,7,19,21,16,16,72,3
104,13,1,1,1,8,25,18,22,11,76,3
105,14,1,1,1,1,20,14,22,16,72,3
106,14,1,1,1,2,19,17,20,18,74,3
107,14,1,1,1,3,22,18,17,11,68,3
108,14,1,1,1,4,21,21,15,15,72,3
109,14,1,1,1,5,21,16,15,18,70,3
110,14,1,1,1,6,23,21,20,7,71,3
111,14,1,1,1,7,16,13,8,18,55,4
112,14,1,1,1,8,22,22,21,7,72,3
113,15,1,1,1,1,30,24,25,9,88,2
114,15,1,1,1,2,27,25,25,20,97,1
115,15,1,1,1,3,22,17,16,18,73,3
116,15,1,1,1,4,23,18,25,14,80,2
117,15,1,1,1,5,25,20,24,14,83,2
118,15,1,1,1,6,26,24,18,20,88,2
119,15,1,1,1,7,23,20,24,10,77,3
120,15,1,1,1,8,23,20,22,20,85,2
121,16,1,1,1,1,25,20,22,20,87,2
122,16,1,1,1,2,19,16,16,20,71,3
123,16,1,1,1,3,20,18,22,11,71,3
124,16,1,1,1,4,26,19,19,18,82,2
125,16,1,1,1,5,22,24,17,10,73,3
126,16,1,1,1,6,27,20,20,11,78,3
127,16,1,1,1,7,21,20,15,5,61,4
128,16,1,1,1,8,23,15,19,12,69,3
129,17,1,1,1,1,30,24,20,19,93,1
130,17,1,1,1,2,23,19,23,15,80,2
131,17,1,1,1,3,27,19,19,20,85,2
132,17,1,1,1,4,26,20,16,15,77,3
133,17,1,1,1,5,16,15,18,9,58,4
134,17,1,1,1,6,23,19,13,20,75,3
135,17,1,1,1,7,22,20,15,19,76,3
136,17,1,1,1,8,20,19,18,15,72,3
137,18,1,1,1,1,29,24,19,14,86,2
138,18,1,1,1,2,25,18,21,14,78,3
139,18,1,1,1,3,28,25,23,12,88,2
140,18,1,1,1,4,26,16,23,14,79,3
141,18,1,1,1,5,28,19,22,12,81,2
142,18,1,1,1,6,26,21,22,20,89,2
143,18,1,1,1,7,23,18,23,20,84,2
144,18,1,1,1,8,24,19,18,18,79,3
145,19,1,1,1,1,30,22,23,20,95,1
146,19,1,1,1,2,22,21,21,15,79,3
147,19,1,1,1,3,19,18,19,16,72,3
148,19,1,1,1,4,20,20,19,13,72,3
149,19,1,1,1,5,24,22,18,19,83,2
150,19,1,1,1,6,19,17,16,13,65,3
151,19,1,1,1,7,23,21,18,15,77,3
152,19,1,1,1,8,24,19,24,15,82,2
153,20,1,1,1,1,29,21,24,14,88,2
154,20,1,1,1,2,19,18,15,16,68,3
155,20,1,1,1,3,24,22,21,3,70,3
156,20,1,1,1,4,24,18,18,19,79,3
157,20,1,1,1,5,22,21,20,15,78,3
158,20,1,1,1,6,16,16,16,11,59,4
159,20,1,1,1,7,23,16,20,17,76,3
160,20,1,1,1,8,17,17,19,17,70,3
161,21,1,1,1,1,24,18,16,20,78,3
162,21,1,1,1,2,25,22,18,18,83,2
163,21,1,1,1,3,24,20,23,14,81,2
164,21,1,1,1,4,17,19,20,13,69,3
165,21,1,1,1,5,26,19,20,14,79,3
166,21,1,1,1,6,30,21,25,11,87,2
167,21,1,1,1,7,28,20,25,15,88,2
168,21,1,1,1,8,25,18,19,12,74,3
169,22,1,1,1,1,21,23,25,16,85,2
170,22,1,1,1,2,26,18,18,13,75,3
171,22,1,1,1,3,25,17,18,20,80,2
172,22,1,1,1,4,24,20,23,13,80,2
173,22,1,1,1,5,21,21,19,17,78,3
174,22,1,1,1,6,21,21,13,16,71,3
175,22,1,1,1,7,30,22,24,20,96,1
176,22,1,1,1,8,21,18,19,18,76,3
177,23,1,1,1,1,21,20,16,20,77,3
178,23,1,1,1,2,23,17,21,14,75,3
179,23,1,1,1,3,24,24,23,17,88,2
180,23,1,1,1,4,23,24,17,19,83,2
181,23,1,1,1,5,23,19,20,18,80,2
182,23,1,1,1,6,20,20,22,12,74,3
183,23,1,1,1,7,19,17,16,18,70,3
184,23,1,1,1,8,19,18,17,20,74,3
185,24,1,1,1,1,17,19,20,15,71,3
186,24,1,1,1,2,28,21,22,16,87,2
187,24,1,1,1,3,24,21,19,20,84,2
188,24,1,1,1,4,23,19,17,10,69,3
189,24,1,1,1,5,24,21,20,20,85,2
190,24,1,1,1,6,22,20,22,20,84,2
191,24,1,1,1,7,26,24,21,10,81,2
192,24,1,1,1,8,25,23,18,17,83,2
193,25,1,1,1,1,30,22,20,20,92,1
194,25,1,1,1,2,26,21,17,20,84,2
195,25,1,1,1,3,26,18,21,20,85,2
196,25,1,1,1,4,28,20,22,17,87,2
197,25,1,1,1,5,27,23,16,20,86,2
198,25,1,1,1,6,20,19,14,20,73,3
199,25,1,1,1,7,20,18,17,9,64,4
200,25,1,1,1,8,26,21,19,19,85,2
201,26,1,1,1,1,21,19,13,20,73,3
202,26,1,1,1,2,24,17,21,17,79,3
203,26,1,1,1,3,21,16,19,20,76,3
204,26,1,1,1,4,22,20,24,10,76,3
205,26,1,1,1,5,27,22,25,18,92,1
206,26,1,1,1,6,26,25,25,14,90,1
207,26,1,1,1,7,29,22,22,7,80,2
208,26,1,1,1,8,24,19,13,20,76,3
209,27,1,1,1,1,18,20,17,15,70,3
210,27,1,1,1,2,24,18,20,14,76,3
211,27,1,1,1,3,22,19,23,14,78,3
212,27,1,1,1,4,25,22,21,10,78,3
213,27,1,1,1,5,26,21,20,20,87,2
214,27,1,1,1,6,27,21,24,12,84,2
215,27,1,1,1,7,24,21,19,18,82,2
216,27,1,1,1,8,23,20,20,17,80,2
217,28,1,1,1,1,23,19,23,13,78,3
218,28,1,1,1,2,20,16,18,16,70,3
219,28,1,1,1,3,25,19,24,13,81,2
220,28,1,1,1,4,28,17,21,14,80,2
221,28,1,1,1,5,24,19,23,6,72,3
222,28,1,1,1,6,20,14,17,9,60,4
223,28,1,1,1,7,30,21,13,20,84,2
224,28,1,1,1,8,25,18,22,4,69,3
225,29,1,1,1,1,20,20,24,17,81,2
226,29,1,1,1,2,21,22,13,20,76,3
227,29,1,1,1,3,29,18,15,19,81,2
228,29,1,1,1,4,21,16,24,10,71,3
229,29,1,1,1,5,23,20,24,14,81,2
230,29,1,1,1,6,21,18,15,20,74,3
231,29,1,1,1,7,21,22,17,15,75,3
232,29,1,1,1,8,28,18,20,15,81,2
233,30,1,1,1,1,23,22,22,10,77,3
234,30,1,1,1,2,19,19,15,10,63,4
235,30,1,1,1,3,21,25,25,11,82,2
236,30,1,1,1,4,25,22,17,16,80,2
237,30,1,1,1,5,19,19,17,19,74,3
238,30,1,1,1,6,23,17,22,15,77,3
239,30,1,1,1,7,19,17,13,17,66,3
240,30,1,1,1,8,20,21,16,16,73,3
241,31,1,1,1,1,29,25,22,18,94,1
242,31,1,1,1,2,26,24,23,9,82,2
243,31,1,1,1,3,19,21,12,20,72,3
244,31,1,1,1,4,23,18,20,13,74,3
245,31,1,1,1,5,25,20,22,17,84,2
246,31,1,1,1,6,24,20,18,12,74,3
247,31,1,1,1,7,20,14,20,15,69,3
248,31,1,1,1,8,26,21,19,15,81,2
249,32,1,1,1,1,23,22,21,17,83,2
250,32,1,1,1,2,25,25,25,12,87,2
251,32,1,1,1,3,24,18,22,8,72,3
252,32,1,1,1,4,21,17,19,15,72,3
253,32,1,1,1,5,23,23,24,20,90,1
254,32,1,1,1,6,21,18,21,12,72,3
255,32,1,1,1,7,21,17,15,14,67,3
256,32,1,1,1,8,22,15,19,18,74,3
257,33,1,1,1,1,24,22,25,13,84,2
258,33,1,1,1,2,22,23,18,18,81,2
259,33,1,1,1,3,24,18,12,20,74,3
260,33,1,1,1,4,21,22,24,13,80,2
261,33,1,1,1,5,22,18,21,14,75,3
262,33,1,1,1,6,24,22,25,12,83,2
263,33,1,1,1,7,20,16,16,10,62,4
264,33,1,1,1,8,23,19,21,19,82,2
265,34,1,1,1,1,27,23,19,20,89,2
266,34,1,1,1,2,22,15,23,16,76,3
267,34,1,1,1,3,28,25,18,17,88,2
268,34,1,1,1,4,20,15,2,19,56,4
269,34,1,1,1,5,24,19,19,17,79,3
270,34,1,1,1,6,23,22,18,17,80,2
271,34,1,1,1,7,22,19,11,15,67,3
272,34,1,1,1,8,24,18,21,9,72,3
273,35,1,1,1,1,27,22,18,16,83,2
274,35,1,1,1,2,27,17,19,20,83,2
275,35,1,1,1,3,22,17,19,11,69,3
276,35,1,1,1,4,26,20,22,11,79,3
277,35,1,1,1,5,21,16,23,16,76,3
278,35,1,1,1,6,25,20,14,19,78,3
279,35,1,1,1,7,27,20,25,8,80,2
280,35,1,1,1,8,22,19,23,15,79,3
281,36,1,1,1,1,22,17,21,9,69,3
282,36,1,1,1,2,30,22,21,20,93,1
283,36,1,1,1,3,24,17,20,13,74,3
284,36,1,1,1,4,20,16,20,13,69,3
285,36,1,1,1,5,27,20,22,10,79,3
286,36,1,1,1,6,15,17,17,17,66,3
287,36,1,1,1,7,23,20,20,19,82,2
288,36,1,1,1,8,24,21,18,15,78,3
289,37,1,1,1,1,26,21,25,17,89,2
290,37,1,1,1,2,22,19,10,19,70,3
291,37,1,1,1,3,24,18,22,19,83,2
292,37,1,1,1,4,25,18,24,10,77,3
293,37,1,1,1,5,20,17,21,15,73,3
294,37,1,1,1,6,22,15,16,19,72,3
295,37,1,1,1,7,23,17,22,18,80,2
296,37,1,1,1,8,24,19,18,12,73,3
297,38,1,1,1,1,22,12,18,14,66,3
298,38,1,1,1,2,23,18,20,13,74,3
299,38,1,1,1,3,19,14,10,11,54,4
300,38,1,1,1,4,22,16,13,20,71,3
301,38,1,1,1,5,21,13,12,18,64,4
302,38,1,1,1,6,19,20,18,12,69,3
303,38,1,1,1,7,14,11,16,12,53,4
304,38,1,1,1,8,22,18,19,18,77,3
305,39,1,1,1,1,28,23,21,10,82,2
306,39,1,1,1,2,23,19,16,20,78,3
307,39,1,1,1,3,21,18,19,13,71,3
308,39,1,1,1,4,20,16,25,12,73,3
309,39,1,1,1,5,26,19,21,16,82,2
310,39,1,1,1,6,23,21,19,10,73,3
311,39,1,1,1,7,21,17,18,14,70,3
312,39,1,1,1,8,21,17,17,15,70,3
313,40,1,1,1,1,21,19,21,11,72,3
314,40,1,1,1,2,18,18,14,17,67,3
315,40,1,1,1,3,23,22,24,19,88,2
316,40,1,1,1,4,18,19,22,13,72,3
317,40,1,1,1,5,21,15,16,12,64,4
318,40,1,1,1,6,23,18,22,20,83,2
319,40,1,1,1,7,24,23,17,19,83,2
320,40,1,1,1,8,25,21,19,20,85,2
321,41,1,1,1,1,28,25,22,20,95,1
322,41,1,1,1,2,27,22,20,17,86,2
323,41,1,1,1,3,24,21,22,9,76,3
324,41,1,1,1,4,25,21,22,17,85,2
325,41,1,1,1,5,26,21,19,16,82,2
326,41,1,1,1,6,23,20,14,16,73,3
327,41,1,1,1,7,24,20,17,19,80,2
328,41,1,1,1,8,24,20,15,20,79,3
329,42,1,1,1,1,25,22,18,13,78,3
330,42,1,1,1,2,23,16,22,14,75,3
331,42,1,1,1,3,24,24,21,10,79,3
332,42,1,1,1,4,22,16,21,13,72,3
333,42,1,1,1,5,21,21,14,20,76,3
334,42,1,1,1,6,26,17,21,13,77,3
335,42,1,1,1,7,25,18,12,20,75,3
336,42,1,1,1,8,23,20,20,12,75,3
337,43,1,1,1,1,22,19,15,17,73,3
338,43,1,1,1,2,27,21,19,11,78,3
339,43,1,1,1,3,20,18,19,9,66,3
340,43,1,1,1,4,24,22,25,13,84,2
341,43,1,1,1,5,23,23,18,12,76,3
342,43,1,1,1,6,25,19,23,18,85,2
343,43,1,1,1,7,22,19,19,11,71,3
344,43,1,1,1,8,20,20,16,14,70,3
345,44,1,1,1,1,27,21,23,20,91,1
346,44,1,1,1,2,23,20,19,17,79,3
347,44,1,1,1,3,21,19,18,18,76,3
348,44,1,1,1,4,20,15,16,16,67,3
349,44,1,1,1,5,24,19,19,13,75,3
350,44,1,1,1,6,24,18,17,20,79,3
351,44,1,1,1,7,26,23,20,15,84,2
352,44,1,1,1,8,26,19,18,20,83,2
353,45,1,1,1,1,25,23,22,16,86,2
354,45,1,1,1,2,28,19,23,20,90,1
355,45,1,1,1,3,19,20,14,15,68,3
356,45,1,1,1,4,22,21,18,7,68,3
357,45,1,1,1,5,24,18,25,8,75,3
358,45,1,1,1,6,22,19,20,14,75,3
359,45,1,1,1,7,23,21,16,13,73,3
360,45,1,1,1,8,22,21,25,10,78,3
361,46,1,1,1,1,27,20,18,14,79,3
362,46,1,1,1,2,25,21,21,16,83,2
363,46,1,1,1,3,20,25,16,17,78,3
364,46,1,1,1,4,23,20,19,18,80,2
365,46,1,1,1,5,23,23,18,18,82,2
366,46,1,1,1,6,23,21,23,16,83,2
367,46,1,1,1,7,29,20,18,15,82,2
368,46,1,1,1,8,19,21,19,14,73,3
369,47,1,1,1,1,27,21,14,16,78,3
370,47,1,1,1,2,22,21,16,20,79,3
371,47,1,1,1,3,22,14,12,20,68,3
372,47,1,1,1,4,24,20,22,4,70,3
373,47,1,1,1,5,27,19,23,15,84,2
374,47,1,1,1,6,30,23,19,19,91,1
375,47,1,1,1,7,20,19,17,10,66,3
376,47,1,1,1,8,18,19,14,13,64,4
377,48,1,1,1,1,21,19,23,15,78,3
378,48,1,1,1,2,21,17,11,20,69,3
379,48,1,1,1,3,26,24,21,17,88,2
380,48,1,1,1,4,20,21,23,9,73,3
381,48,1,1,1,5,24,22,14,19,79,3
382,48,1,1,1,6,18,17,20,10,65,3
383,48,1,1,1,7,24,20,21,12,77,3
384,48,1,1,1,8,24,23,24,10,81,2
385,49,1,1,1,1,28,22,23,20,93,1
386,49,1,1,1,2,28,24,25,11,88,2
387,49,1,1,1,3,22,17,22,13,74,3
388,49,1,1,1,4,27,23,25,17,92,1
389,49,1,1,1,5,29,23,21,18,91,1
390,49,1,1,1,6,22,16,15,20,73,3
391,49,1,1,1,7,29,23,21,19,92,1
392,49,1,1,1,8,20,19,18,13,70,3
393,50,1,1,1,1,30,20,23,20,93,1
394,50,1,1,1,2,30,21,25,20,96,1
395,50,1,1,1,3,21,18,20,18,77,3
396,50,1,1,1,4,23,21,19,11,74,3
397,50,1,1,1,5,28,20,20,17,85,2
398,50,1,1,1,6,20,16,16,14,66,3
399,50,1,1,1,7,20,21,21,13,75,3
400,50,1,1,1,8,23,24,19,11,77,3
401,51,1,1,1,1,25,23,21,19,88,2
402,51,1,1,1,2,24,21,22,20,87,2
403,51,1,1,1,3,17,17,8,20,62,4
404,51,1,1,1,4,20,19,19,20,78,3
405,51,1,1,1,5,15,19,16,16,66,3
406,51,1,1,1,6,24,24,25,10,83,2
407,51,1,1,1,7,22,20,18,17,77,3
408,51,1,1,1,8,25,20,20,14,79,3
409,52,1,1,1,1,24,19,23,20,86,2
410,52,1,1,1,2,23,18,21,9,71,3
411,52,1,1,1,3,25,18,25,11,79,3
412,52,1,1,1,4,22,19,25,4,70,3
413,52,1,1,1,5,27,22,23,9,81,2
414,52,1,1,1,6,22,17,18,18,75,3
415,52,1,1,1,7,21,20,13,11,65,3
416,52,1,1,1,8,25,17,17,20,79,3
417,53,1,1,1,1,29,21,25,13,88,2
418,53,1,1,1,2,21,17,11,20,69,3
419,53,1,1,1,3,22,18,19,15,74,3
420,53,1,1,1,4,20,17,18,13,68,3
421,53,1,1,1,5,21,14,16,12,63,4
422,53,1,1,1,6,26,24,22,17,89,2
423,53,1,1,1,7,24,18,17,19,78,3
424,53,1,1,1,8,22,21,21,15,79,3
425,54,1,1,1,1,29,23,20,14,86,2
426,54,1,1,1,2,22,23,17,18,80,2
427,54,1,1,1,3,26,17,17,12,72,3
428,54,1,1,1,4,27,20,22,18,87,2
429,54,1,1,1,5,26,23,23,12,84,2
430,54,1,1,1,6,25,16,17,18,76,3
431,54,1,1,1,7,23,19,19,14,75,3
432,54,1,1,1,8,23,23,22,17,85,2
433,55,1,1,1,1,23,23,19,17,82,2
434,55,1,1,1,2,29,24,25,16,94,1
435,55,1,1,1,3,23,15,18,19,75,3
436,55,1,1,1,4,21,20,24,18,83,2
437,55,1,1,1,5,20,17,13,20,70,3
438,55,1,1,1,6,23,21,17,17,78,3
439,55,1,1,1,7,24,19,25,14,82,2
440,55,1,1,1,8,24,20,23,12,79,3
441,56,1,1,1,1,24,24,22,16,86,2
442,56,1,1,1,2,22,18,20,8,68,3
443,56,1,1,1,3,22,18,15,19,74,3
444,56,1,1,1,4,18,13,18,14,63,4
445,56,1,1,1,5,25,16,19,11,71,3
446,56,1,1,1,6,22,17,19,10,68,3
447,56,1,1,1,7,19,19,15,20,73,3
448,56,1,1,1,8,24,23,22,14,83,2
449,57,1,1,1,1,29,22,21,16,88,2
450,57,1,1,1,2,26,17,19,17,79,3
451,57,1,1,1,3,25,20,19,20,84,2
452,57,1,1,1,4,21,17,11,19,68,3
453,57,1,1,1,5,24,20,19,17,80,2
454,57,1,1,1,6,23,19,19,20,81,2
455,57,1,1,1,7,22,20,15,17,74,3
456,57,1,1,1,8,20,20,18,16,74,3
457,58,1,1,1,1,26,23,22,15,86,2
458,58,1,1,1,2,25,20,24,13,82,2
459,58,1,1,1,3,23,22,22,14,81,2
460,58,1,1,1,4,22,21,18,18,79,3
461,58,1,1,1,5,29,25,24,12,90,1
462,58,1,1,1,6,30,24,24,14,92,1
463,58,1,1,1,7,24,23,17,20,84,2
464,58,1,1,1,8,20,19,18,15,72,3
465,59,1,1,1,1,26,21,24,11,82,2
466,59,1,1,1,2,25,17,20,15,77,3
467,59,1,1,1,3,21,16,23,15,75,3
468,59,1,1,1,4,21,19,14,12,66,3
469,59,1,1,1,5,27,20,21,13,81,2
470,59,1,1,1,6,22,17,22,12,73,3
471,59,1,1,1,7,26,25,17,20,88,2
472,59,1,1,1,8,24,18,21,20,83,2
473,60,1,1,1,1,22,17,19,19,77,3
474,60,1,1,1,2,22,20,17,11,70,3
475,60,1,1,1,3,24,20,24,9,77,3
476,60,1,1,1,4,26,21,25,19,91,1
477,60,1,1,1,5,19,18,19,7,63,4
478,60,1,1,1,6,22,23,18,16,79,3
479,60,1,1,1,7,23,21,20,10,74,3
480,60,1,1,1,8,21,18,17,17,73,3
481,61,1,1,1,1,30,25,25,8,88,2
482,61,1,1,1,2,21,21,19,18,79,3
483,61,1,1,1,3,22,21,18,18,79,3
484,61,1,1,1,4,24,18,13,16,71,3
485,61,1,1,1,5,21,18,22,12,73,3
486,61,1,1,1,6,25,23,16,18,82,2
487,61,1,1,1,7,24,21,17,16,78,3
488,61,1,1,1,8,22,17,11,20,70,3
489,62,1,1,1,1,23,16,19,16,74,3
490,62,1,1,1,2,21,19,20,17,77,3
491,62,1,1,1,3,22,17,15,20,74,3
492,62,1,1,1,4,23,20,20,18,81,2
493,62,1,1,1,5,27,24,23,14,88,2
494,62,1,1,1,6,29,24,22,16,91,1
495,62,1,1,1,7,20,18,25,11,74,3
496,62,1,1,1,8,21,18,17,16,72,3
497,63,1,1,1,1,25,25,25,17,92,1
498,63,1,1,1,2,29,25,21,14,89,2
499,63,1,1,1,3,25,19,20,16,80,2
500,63,1,1,1,4,24,18,20,11,73,3
501,63,1,1,1,5,26,22,25,17,90,1
502,63,1,1,1,6,24,14,23,5,66,3
503,63,1,1,1,7,24,20,19,14,77,3
504,63,1,1,1,8,24,24,25,8,81,2
505,64,1,1,1,1,26,21,21,15,83,2
506,64,1,1,1,2,23,16,21,15,75,3
507,64,1,1,1,3,23,19,12,18,72,3
508,64,1,1,1,4,26,19,25,15,85,2
509,64,1,1,1,5,24,21,19,9,73,3
510,64,1,1,1,6,23,19,20,20,82,2
511,64,1,1,1,7,23,22,22,7,74,3
512,64,1,1,1,8,24,23,17,15,79,3
513,65,1,1,1,1,23,18,19,19,79,3
514,65,1,1,1,2,27,24,20,20,91,1
515,65,1,1,1,3,23,18,23,13,77,3
516,65,1,1,1,4,25,22,24,20,91,1
517,65,1,1,1,5,28,21,20,16,85,2
518,65,1,1,1,6,27,22,21,19,89,2
519,65,1,1,1,7,27,17,13,20,77,3
520,65,1,1,1,8,26,23,25,9,83,2
521,66,1,1,1,1,26,22,15,20,83,2
522,66,1,1,1,2,23,22,20,20,85,2
523,66,1,1,1,3,26,18,18,16,78,3
524,66,1,1,1,4,28,22,22,7,79,3
525,66,1,1,1,5,21,22,17,17,77,3
526,66,1,1,1,6,23,17,16,15,71,3
527,66,1,1,1,7,26,19,19,16,80,2
528,66,1,1,1,8,20,15,14,20,69,3
529,67,1,1,2,3,29,17,25,18,89,2
530,67,1,1,2,4,22,19,21,14,76,3
531,67,1,1,2,5,21,23,20,20,84,2
532,67,1,1,2,6,27,20,18,15,80,2
533,67,1,1,2,7,19,20,20,14,73,3
534,67,1,1,2,8,18,15,20,11,64,4
535,68,1,1,2,3,21,13,13,16,63,4
536,68,1,1,2,4,29,25,20,20,94,1
537,68,1,1,2,5,21,25,21,12,79,3
538,68,1,1,2,6,26,18,17,16,77,3
539,68,1,1,2,7,21,20,23,13,77,3
540,68,1,1,2,8,24,14,19,12,69,3
541,69,1,1,2,3,17,19,20,8,64,4
542,69,1,1,2,4,25,20,21,13,79,3
543,69,1,1,2,5,27,24,21,15,87,2
544,69,1,1,2,6,21,19,12,20,72,3
545,69,1,1,2,7,25,19,18,15,77,3
546,69,1,1,2,8,19,18,21,12,70,3
547,70,1,1,2,3,25,21,24,13,83,2
548,70,1,1,2,4,28,23,24,14,89,2
549,70,1,1,2,5,21,19,20,14,74,3
550,70,1,1,2,6,18,17,10,20,65,3
551,70,1,1,2,7,28,25,24,13,90,1
552,70,1,1,2,8,22,19,16,20,77,3
553,71,1,1,2,3,23,17,22,13,75,3
554,71,1,1,2,4,25,19,23,17,84,2
555,71,1,1,2,5,23,20,23,4,70,3
556,71,1,1,2,6,20,16,14,14,64,4
557,71,1,1,2,7,27,20,20,17,84,2
558,71,1,1,2,8,18,15,16,20,69,3
559,72,1,1,2,3,22,18,21,14,75,3
560,72,1,1,2,4,25,18,19,14,76,3
561,72,1,1,2,5,23,18,17,20,78,3
562,72,1,1,2,6,19,18,20,7,64,4
563,72,1,1,2,7,26,22,23,19,90,1
564,72,1,1,2,8,18,17,15,18,68,3
565,73,1,1,2,3,28,22,22,17,89,2
566,73,1,1,2,4,21,22,20,12,75,3
567,73,1,1,2,5,21,21,15,14,71,3
568,73,1,1,2,6,25,18,17,14,74,3
569,73,1,1,2,7,25,19,22,12,78,3
570,73,1,1,2,8,21,22,21,10,74,3
571,74,1,1,2,3,20,16,21,12,69,3
572,74,1,1,2,4,24,23,24,7,78,3
573,74,1,1,2,5,22,17,18,15,72,3
