HoSoKey,SinhVienKey,KhoaKey,NganhKey,LopKey,HocKyGanNhatKey,SoHocKyDaHoc,GPATichLuyHienTai,DiemRenLuyenGanNhat,TongTinChiDangKy,TongTinChiDat,TongTinChiNo,TongSoMonRot,SoMonHocLai,SoLanCanhBao,XepLoaiHocTapKey,XepLoaiRenLuyenKey,CanhBaoKey,NhomNguyCo,TrangThaiTotNghiep
28,2582,3,8,37,8,2,3.05,83,11,11,0,0,0,0,3,2,1,Thấp,Đang học
29,2583,3,8,37,8,2,3.05,90,11,11,0,0,0,0,3,1,1,Thấp,Đang học
30,2584,3,8,37,8,2,2.62,83,11,9,2,1,1,0,4,2,1,Thấp,Đang học
31,2569,3,8,37,8,2,2.86,85,11,11,0,0,0,0,3,2,1,Thấp,Đang học
32,2570,3,8,37,8,2,2.0,87,11,9,4,2,2,1,4,2,1,Trung bình,Đang học
33,2595,3,8,37,8,2,3.0,89,11,11,0,0,0,0,3,2,1,Thấp,Cảnh báo học vụ
34,2596,3,8,37,8,2,2.86,80,11,11,0,0,0,0,3,2,1,Thấp,Đang học
35,2597,3,8,37,8,2,2.19,78,11,11,0,0,0,1,5,3,2,Trung bình,Đang học
36,2598,3,8,37,8,2,2.38,83,11,8,3,1,1,1,4,2,2,Trung bình,Bảo lưu
37,2599,3,8,37,8,2,3.14,96,11,11,0,0,0,0,2,1,1,Thấp,Đang học
38,2600,3,8,37,8,2,3.38,87,11,11,0,0,0,0,2,2,1,Thấp,Đang học
39,2585,3,8,37,8,2,3.0,80,11,11,0,0,0,0,3,2,1,Thấp,Đang học
40,2586,3,8,37,8,2,3.0,88,11,11,0,0,0,0,3,2,1,Thấp,Đang học
41,2571,3,8,37,8,2,3.14,93,11,11,0,0,0,0,2,1,1,Thấp,Đang học
42,2572,3,8,37,8,2,3.05,93,11,8,3,1,1,1,3,1,2,Trung bình,Đang học
43,2573,3,8,37,8,2,3.0,85,11,9,2,1,1,0,3,2,1,Thấp,Đang học
44,2574,3,8,37,8,2,2.9,94,11,11,0,0,0,0,2,1,1,Thấp,Đang học
45,2575,3,8,37,8,2,2.71,91,11,11,0,0,0,0,3,1,1,Thấp,Cảnh báo học vụ
46,2576,3,8,37,8,2,2.76,80,11,11,0,0,0,0,3,2,1,Thấp,Đang học
47,2565,3,8,36,8,4,2.12,83,11,11,2,1,1,1,4,2,1,Trung bình,Đang học
48,2566,3,8,36,8,4,2.55,78,11,11,0,1,1,0,3,3,1,Thấp,Đang học
49,2603,3,8,37,8,2,3.1,86,11,11,0,0,0,0,3,2,1,Thấp,Đang học
50,2604,3,8,37,8,2,2.76,91,11,9,2,1,1,0,3,1,1,Thấp,Đang học
51,2605,3,8,37,8,2,2.76,98,11,11,0,0,0,0,3,1,1,Thấp,Đang học
52,2606,3,8,37,8,2,2.76,84,11,11,0,0,0,0,3,2,1,Thấp,Đang học
53,2607,3,8,37,8,2,2.86,91,11,11,0,0,0,0,3,1,1,Thấp,Đang học
54,2608,3,8,37,8,2,2.86,95,11,11,0,0,0,0,3,1,1,Thấp,Đang học
55,2593,3,8,37,8,2,3.33,96,11,11,0,0,0,0,3,1,1,Thấp,Đang học
56,2594,3,8,37,8,2,3.38,93,11,11,0,0,0,0,2,1,1,Thấp,Đang học
57,2567,3,8,36,8,4,1.98,74,11,11,2,2,2,4,4,3,2,Cao,Đang học
58,2568,3,8,36,8,4,2.81,84,11,11,0,0,0,0,3,2,1,Thấp,Đang học
59,2561,3,8,36,8,4,2.45,77,11,11,0,0,0,0,4,3,1,Trung bình,Đang học
60,2562,3,8,36,8,4,2.83,83,11,11,0,0,0,0,3,2,1,Thấp,Bảo lưu
61,2563,3,8,36,8,4,2.74,77,11,11,2,1,1,0,3,3,1,Thấp,Đang học
62,2564,3,8,36,8,4,2.48,78,11,11,0,0,0,1,3,3,1,Trung bình,Đang học
63,878,1,3,13,8,2,2.3,76,12,9,3,1,1,1,4,3,2,Trung bình,Đang học
64,879,1,3,13,8,2,2.96,68,12,12,0,0,0,0,3,3,1,Trung bình,Đang học
65,2611,3,8,37,8,2,2.29,81,11,8,3,1,1,1,5,2,2,Trung bình,Đang học
66,2612,3,8,37,8,2,2.9,78,11,11,0,0,0,0,3,3,1,Thấp,Đang học
67,2613,3,8,37,8,2,2.95,84,11,11,0,0,0,0,3,2,1,Thấp,Đang học
68,2614,3,8,37,8,2,3.14,86,11,11,0,0,0,0,3,2,1,Thấp,Đang học
69,2615,3,8,37,8,2,3.14,95,11,11,0,0,0,0,2,1,1,Thấp,Đang học
70,2616,3,8,37,8,2,2.76,94,11,11,0,0,0,0,3,1,1,Thấp,Đang học
71,2601,3,8,37,8,2,3.0,84,11,11,0,0,0,0,3,2,1,Thấp,Đang học
72,2602,3,8,37,8,2,3.0,88,11,11,0,0,0,0,2,2,1,Thấp,Đang học
73,880,1,3,13,8,2,2.09,68,12,9,3,2,2,2,4,3,2,Cao,Đang học
74,881,1,3,13,8,2,2.96,82,12,12,0,0,0,0,3,2,1,Thấp,Đang học
75,882,1,3,13,8,2,2.43,76,12,9,3,1,1,1,4,3,2,Trung bình,Đang học
76,883,1,3,13,8,2,3.09,74,12,12,0,0,0,0,3,3,1,Thấp,Đang học
77,884,1,3,13,8,2,3.0,92,12,12,0,0,0,0,3,1,1,Thấp,Cảnh báo học vụ
78,885,1,3,13,8,2,1.74,69,12,9,6,2,2,2,4,3,2,Cao,Cảnh báo học vụ
79,2557,3,8,36,8,4,2.5,91,11,11,0,0,0,1,3,1,1,Thấp,Cảnh báo học vụ
80,2558,3,8,36,8,4,2.21,80,11,8,3,1,1,1,5,2,3,Trung bình,Đang học
81,2619,3,8,37,8,2,3.48,91,11,11,0,0,0,0,2,1,1,Thấp,Đang học
82,2620,3,8,37,8,2,3.29,98,11,11,0,0,0,0,2,1,1,Thấp,Đang học
83,2621,3,8,37,8,2,2.95,97,11,11,0,0,0,0,3,1,1,Thấp,Cảnh báo học vụ
84,2622,3,8,37,8,2,3.1,95,11,11,0,0,0,0,3,1,1,Thấp,Đang học
85,2623,3,8,37,8,2,2.19,91,11,11,0,0,0,0,4,1,1,Trung bình,Đang học
86,2624,3,8,37,8,2,3.43,92,11,11,0,0,0,0,1,1,1,Thấp,Đang học
87,2609,3,8,37,8,2,2.67,86,11,11,0,0,0,0,3,2,1,Thấp,Đang học
88,2610,3,8,37,8,2,3.05,90,11,11,0,0,0,0,2,1,1,Thấp,Đang học
89,2559,3,8,36,8,4,2.5,86,11,11,0,0,0,0,3,2,1,Thấp,Đang học
90,2560,3,8,36,8,4,2.64,95,11,11,0,0,0,0,3,1,1,Thấp,Đang học
91,2553,3,8,36,8,4,2.38,96,11,11,0,1,1,1,3,1,1,Trung bình,Cảnh báo học vụ
92,2554,3,8,36,8,4,2.5,73,11,11,0,0,0,0,3,3,1,Thấp,Đang học
93,2555,3,8,36,8,4,2.79,90,11,11,0,0,0,0,3,1,1,Thấp,Đang học
94,2556,3,8,36,8,4,2.45,87,11,11,0,0,0,0,4,2,1,Trung bình,Đang học
95,886,1,3,13,8,2,3.13,78,12,12,0,0,0,0,3,3,1,Thấp,Đang học
96,887,1,3,13,8,2,2.65,79,12,9,3,1,1,1,3,3,2,Trung bình,Đang học
97,2627,3,8,37,8,2,2.62,88,11,11,0,0,0,0,4,2,1,Thấp,Đang học
98,2628,3,8,37,8,2,2.71,92,11,11,0,0,0,0,4,1,1,Thấp,Đang học
99,2629,3,8,37,8,2,3.29,91,11,11,0,0,0,0,2,1,1,Thấp,Đang học
100,2630,3,8,37,8,2,2.43,94,11,11,1,1,1,1,3,1,1,Trung bình,Đang học
101,2631,3,8,37,8,2,2.81,92,11,11,0,0,0,0,3,1,1,Thấp,Cảnh báo học vụ
102,2632,3,8,37,8,2,2.95,96,11,11,0,0,0,0,3,1,1,Thấp,Đang học
103,2617,3,8,37,8,2,2.86,92,11,8,3,1,1,1,4,1,2,Trung bình,Đang học
104,2618,3,8,37,8,2,2.62,99,11,11,0,0,0,0,3,1,1,Thấp,Cảnh báo học vụ
105,888,1,3,13,8,2,2.43,73,12,12,0,0,0,0,4,3,1,Trung bình,Đang học
106,889,1,3,13,8,2,2.48,74,12,9,6,2,2,2,3,3,2,Cao,Đang học
107,890,1,3,13,8,2,2.35,81,12,6,6,2,2,1,5,2,3,Trung bình,Cảnh báo học vụ
108,891,1,3,13,8,2,2.61,70,12,12,0,0,0,0,4,3,1,Thấp,Đang học
109,892,1,3,13,8,2,3.09,86,12,12,0,0,0,0,3,2,1,Thấp,Đang học
110,893,1,3,13,8,2,2.3,87,12,12,3,1,1,1,3,2,1,Trung bình,Đang học
111,2549,3,8,36,8,4,2.4,91,11,11,0,1,1,1,4,1,1,Trung bình,Đang học
112,2550,3,8,36,8,4,2.29,79,11,11,3,1,1,2,5,3,2,Cao,Đang học
113,2635,3,8,37,8,2,2.71,96,11,11,0,0,0,0,3,1,1,Thấp,Đang học
114,2636,3,8,37,8,2,2.57,83,11,11,0,0,0,0,3,2,1,Thấp,Đang học
115,2637,3,8,37,8,2,2.76,89,11,11,0,0,0,0,3,2,1,Thấp,Đang học
116,2638,3,8,37,8,2,2.52,94,11,11,0,1,1,0,3,1,1,Thấp,Đang học
117,2639,3,8,37,8,2,2.9,85,11,11,0,1,1,0,3,2,1,Thấp,Đang học
118,2640,3,8,37,8,2,3.0,94,11,11,0,0,0,0,3,1,1,Thấp,Đang học
119,2625,3,8,37,8,2,2.86,74,11,8,3,1,1,1,4,3,2,Trung bình,Đang học
120,2626,3,8,37,8,2,2.71,85,11,11,0,0,0,0,3,2,1,Thấp,Đang học
121,2551,3,8,36,8,4,2.36,77,11,11,2,1,1,1,4,3,1,Trung bình,Đang học
122,2552,3,8,36,8,4,2.21,77,11,11,3,2,2,2,4,3,1,Trung bình,Đang học
123,2545,3,8,36,8,4,2.67,74,11,11,0,1,1,0,4,3,1,Thấp,Cảnh báo học vụ
124,2546,3,8,36,8,4,2.76,92,11,11,0,1,1,0,3,1,1,Thấp,Đang học
125,2547,3,8,36,8,4,2.62,89,11,11,0,1,1,1,4,2,1,Thấp,Đang học
126,2548,3,8,36,8,4,2.57,78,11,11,0,0,0,1,3,3,1,Thấp,Đang học
127,894,1,3,13,8,2,2.87,86,12,12,0,0,0,0,2,2,1,Thấp,Đang học
128,895,1,3,13,8,2,2.87,85,12,12,0,0,0,0,3,2,1,Thấp,Cảnh báo học vụ
129,2643,3,8,38,8,2,3.33,91,11,11,0,0,0,0,2,1,1,Thấp,Cảnh báo học vụ
130,2644,3,8,38,8,2,3.0,90,11,11,0,0,0,0,3,1,1,Thấp,Đang học
131,2645,3,8,38,8,2,3.0,80,11,9,2,1,1,0,4,2,1,Thấp,Đang học
132,2646,3,8,38,8,2,3.43,97,11,11,0,0,0,0,2,1,1,Thấp,Bảo lưu
133,2647,3,8,38,8,2,3.24,92,11,11,0,0,0,0,3,1,1,Thấp,Đang học
134,2648,3,8,38,8,2,3.43,89,11,11,0,0,0,0,1,2,1,Thấp,Đang học
135,2633,3,8,37,8,2,2.19,90,11,8,3,1,1,1,5,1,4,Trung bình,Cảnh báo học vụ
136,2634,3,8,37,8,2,3.19,91,11,11,0,0,0,0,3,1,1,Thấp,Đang học
137,896,1,3,13,8,2,2.74,87,12,9,3,1,1,1,4,2,2,Trung bình,Đang học
138,897,1,3,13,8,2,2.09,71,12,9,4,2,2,2,4,3,2,Cao,Đang học
139,898,1,3,13,8,2,1.96,69,12,6,6,2,2,1,5,3,4,Cao,Đang học
140,899,1,3,13,8,2,2.87,86,12,12,0,0,0,0,3,2,1,Thấp,Đang học
141,900,1,3,13,8,2,2.04,68,12,6,6,2,2,1,5,3,4,Trung bình,Đang học
142,901,1,3,13,8,2,3.26,79,12,12,0,0,0,0,2,3,1,Thấp,Đang học
143,2541,3,8,36,8,4,2.19,85,11,8,6,2,2,2,5,2,3,Cao,Đang học
144,2542,3,8,36,8,4,2.79,89,11,11,0,0,0,0,3,2,1,Thấp,Đang học
145,2651,3,8,38,8,2,3.19,90,11,11,0,0,0,0,3,1,1,Thấp,Đang học
146,2652,3,8,38,8,2,3.14,85,11,11,0,0,0,0,2,2,1,Thấp,Đang học
147,2653,3,8,38,8,2,3.0,96,11,11,0,0,0,0,3,1,1,Thấp,Đang học
148,2654,3,8,38,8,2,3.43,81,11,11,0,0,0,0,2,2,1,Thấp,Đang học
149,2655,3,8,38,8,2,2.86,97,11,11,0,0,0,0,3,1,1,Thấp,Đang học
150,2656,3,8,38,8,2,3.33,89,11,11,0,0,0,0,3,2,1,Thấp,Cảnh báo học vụ
151,2641,3,8,37,8,2,3.24,87,11,11,0,0,0,0,3,2,1,Thấp,Đang học
152,2642,3,8,38,8,2,3.19,92,11,11,0,0,0,0,3,1,1,Thấp,Đang học
153,2543,3,8,36,8,4,1.55,80,11,8,4,2,2,4,5,2,4,Cao,Cảnh báo học vụ
154,2544,3,8,36,8,4,2.67,90,11,11,0,0,0,0,3,1,1,Thấp,Đang học
155,2537,3,8,36,8,4,2.83,88,11,11,0,0,0,0,4,2,1,Thấp,Đang học
156,2538,3,8,36,8,4,2.21,84,11,11,1,2,2,2,5,2,2,Cao,Cảnh báo học vụ
157,2539,3,8,36,8,4,2.38,90,11,11,3,2,2,2,3,1,1,Trung bình,Đang học
158,2540,3,8,36,8,4,2.4,75,11,11,0,0,0,1,4,3,1,Trung bình,Đang học
159,902,1,3,13,8,2,3.13,93,12,12,0,0,0,0,2,1,1,Thấp,Đang học
160,903,1,3,13,8,2,2.61,79,12,9,3,1,1,1,4,3,2,Trung bình,Đang học
161,2659,3,8,38,8,2,3.38,83,11,11,0,0,0,0,2,2,1,Thấp,Đang học
162,2660,3,8,38,8,2,3.1,89,11,11,0,0,0,0,3,2,1,Thấp,Đang học
163,2661,3,8,38,8,2,3.33,81,11,11,0,0,0,0,3,2,1,Thấp,Đang học
164,2662,3,8,38,8,2,2.67,95,11,8,3,1,1,1,4,1,2,Trung bình,Đang học
165,2663,3,8,38,8,2,3.38,97,11,11,0,0,0,0,2,1,1,Thấp,Đang học
166,2664,3,8,38,8,2,2.76,93,11,11,0,0,0,0,4,1,1,Thấp,Đang học
167,2649,3,8,38,8,2,1.81,86,11,6,5,2,2,1,5,2,4,Cao,Cảnh báo học vụ
168,2650,3,8,38,8,2,3.1,93,11,11,0,0,0,0,2,1,1,Thấp,Đang học
169,904,1,3,13,8,2,2.48,75,12,9,3,1,1,1,4,3,2,Trung bình,Đang học
170,905,1,3,13,8,2,2.74,76,12,12,0,0,0,0,3,3,1,Thấp,Đang học
171,906,1,3,13,8,2,3.13,79,12,12,0,0,0,0,3,3,1,Thấp,Đang học
172,907,1,3,13,8,2,2.48,82,12,9,3,1,1,1,4,2,2,Trung bình,Đang học
173,908,1,3,13,8,2,2.74,77,12,12,0,0,0,0,3,3,1,Thấp,Đang học
174,909,1,3,13,8,2,3.39,72,12,12,0,0,0,0,2,3,1,Thấp,Đang học
175,2533,3,8,36,8,4,2.62,88,11,11,0,1,1,1,4,2,1,Thấp,Đang học
176,2534,3,8,36,8,4,2.33,74,11,8,3,1,1,1,4,3,2,Trung bình,Đang học
177,2667,3,8,38,8,2,2.9,95,11,11,0,0,0,0,3,1,1,Thấp,Đang học
178,2668,3,8,38,8,2,3.14,96,11,11,0,0,0,0,3,1,1,Thấp,Đang học
179,2669,3,8,38,8,2,3.38,94,11,11,0,0,0,0,1,1,1,Thấp,Đang học
180,2670,3,8,38,8,2,2.67,81,11,8,3,1,1,1,3,2,2,Trung bình,Đang học
181,2671,3,8,38,8,2,3.38,93,11,11,0,0,0,0,2,1,1,Thấp,Đang học
182,2672,3,8,38,8,2,3.24,91,11,11,0,0,0,0,3,1,1,Thấp,Cảnh báo học vụ
183,2657,3,8,38,8,2,3.19,91,11,11,0,0,0,0,3,1,1,Thấp,Đang học
184,2658,3,8,38,8,2,3.0,86,11,11,0,0,0,0,3,2,1,Thấp,Cảnh báo học vụ
185,2535,3,8,36,8,4,2.29,80,11,8,3,1,1,1,5,2,4,Trung bình,Đang học
186,2536,3,8,36,8,4,3.0,87,11,11,0,0,0,0,4,2,1,Thấp,Đang học
187,2529,3,8,36,8,4,2.43,87,11,11,3,1,1,1,3,2,1,Trung bình,Đang học
188,2530,3,8,36,8,4,2.52,81,11,11,0,0,0,0,4,2,1,Thấp,Đang học
189,2531,3,8,36,8,4,2.5,91,11,8,3,1,1,1,5,1,3,Trung bình,Đang học
190,2532,3,8,36,8,4,2.52,91,11,11,0,1,1,1,3,1,1,Thấp,Cảnh báo học vụ
191,910,1,3,14,8,2,2.61,76,12,9,3,1,1,1,4,3,2,Trung bình,Đang học
192,911,1,3,14,8,2,2.57,86,12,9,3,1,1,1,4,2,2,Trung bình,Đang học
193,2675,3,8,38,8,2,3.38,85,11,11,0,0,0,0,2,2,1,Thấp,Đang học
194,2676,3,8,38,8,2,2.57,89,11,11,0,0,0,0,3,2,1,Thấp,Đang học
195,2677,3,8,38,8,2,2.95,87,11,9,2,1,1,0,4,2,1,Thấp,Cảnh báo học vụ
196,2678,3,8,38,8,2,3.05,92,11,11,0,0,0,0,3,1,1,Thấp,Cảnh báo học vụ
197,2679,3,8,38,8,2,2.81,99,11,11,0,0,0,0,3,1,1,Thấp,Đang học
198,2680,3,8,38,8,2,3.1,84,11,11,0,0,0,0,3,2,1,Thấp,Đang học
199,2665,3,8,38,8,2,3.1,95,11,11,0,0,0,0,3,1,1,Thấp,Cảnh báo học vụ
200,2666,3,8,38,8,2,2.95,81,11,11,0,0,0,0,3,2,1,Thấp,Đang học
201,912,1,3,14,8,2,3.35,91,12,12,0,0,0,0,2,1,1,Thấp,Đang học
202,913,1,3,14,8,2,3.39,77,12,12,0,0,0,0,2,3,1,Thấp,Đang học
203,914,1,3,14,8,2,2.87,79,12,12,0,0,0,0,3,3,1,Thấp,Đang học
204,915,1,3,14,8,2,2.48,70,12,9,3,1,1,1,4,3,2,Trung bình,Bảo lưu
205,916,1,3,14,8,2,3.09,80,12,12,0,0,0,0,2,2,1,Thấp,Đang học
206,917,1,3,14,8,2,2.96,78,12,12,0,0,0,0,3,3,1,Thấp,Đang học
207,2525,3,8,36,8,4,2.36,88,11,11,0,0,0,0,4,2,1,Trung bình,Đang học
208,2526,3,8,36,8,4,2.79,97,11,11,0,0,0,0,3,1,1,Thấp,Đang học
209,2683,3,8,38,8,2,2.86,84,11,11,0,0,0,0,3,2,1,Thấp,Bảo lưu
210,2684,3,8,38,8,2,2.81,90,11,11,0,0,0,0,3,1,1,Thấp,Đang học
211,2685,3,8,38,8,2,3.29,86,11,11,0,0,0,0,2,2,1,Thấp,Đang học
212,2686,3,8,38,8,2,3.62,100,11,11,0,0,0,0,1,1,1,Thấp,Đang học
213,2687,3,8,38,8,2,2.86,97,11,11,0,0,0,0,4,1,1,Thấp,Đang học
214,2688,3,8,38,8,2,3.57,94,11,11,0,0,0,0,1,1,1,Thấp,Cảnh báo học vụ
215,2673,3,8,38,8,2,3.05,96,11,11,0,0,0,0,3,1,1,Thấp,Đang học
216,2674,3,8,38,8,2,2.95,74,11,11,0,0,0,0,3,3,1,Thấp,Đang học
217,2527,3,8,36,8,4,2.71,76,11,11,0,0,0,0,3,3,1,Thấp,Đang học
218,2528,3,8,36,8,4,2.21,75,11,6,5,2,2,1,5,3,4,Trung bình,Đang học
219,2521,3,8,36,8,4,2.48,89,11,8,3,1,1,1,5,2,2,Trung bình,Đang học
220,2522,3,8,36,8,4,2.05,82,11,11,3,2,2,2,3,2,1,Trung bình,Cảnh báo học vụ
221,2523,3,8,36,8,4,2.62,79,11,11,0,0,0,1,5,3,3,Thấp,Bảo lưu
222,2524,3,8,36,8,4,2.4,93,11,11,0,0,0,0,4,1,1,Trung bình,Đang học
223,918,1,3,14,8,2,2.74,71,12,9,3,1,1,1,4,3,2,Trung bình,Đang học
224,919,1,3,14,8,2,2.22,82,12,6,6,2,2,1,5,2,3,Trung bình,Đang học
225,2691,3,8,38,8,2,3.05,91,11,8,3,1,1,1,3,1,2,Trung bình,Đang học
226,2692,3,8,38,8,2,3.1,90,11,11,0,0,0,0,3,1,1,Thấp,Đang học
227,2693,3,8,38,8,2,3.38,92,11,11,0,0,0,0,3,1,1,Thấp,Đang học
228,2694,3,8,38,8,2,3.62,93,11,11,0,0,0,0,1,1,1,Thấp,Đang học
229,2695,3,8,38,8,2,2.86,78,11,11,0,0,0,0,3,3,1,Thấp,Đang học
230,2696,3,8,38,8,2,2.86,84,11,11,0,0,0,0,4,2,1,Thấp,Cảnh báo học vụ
231,2681,3,8,38,8,2,2.76,83,11,11,0,0,0,0,3,2,1,Thấp,Đang học
232,2682,3,8,38,8,2,3.0,93,11,11,0,0,0,0,3,1,1,Thấp,Đang học
233,920,1,3,14,8,2,2.57,70,12,6,6,2,2,1,5,3,4,Trung bình,Cảnh báo học vụ
234,921,1,3,14,8,2,2.48,67,12,9,4,2,2,2,3,3,2,Cao,Đang học
235,922,1,3,14,8,2,2.83,87,12,12,0,0,0,0,3,2,1,Thấp,Đang học
236,923,1,3,14,8,2,3.13,79,12,12,0,0,0,0,3,3,1,Thấp,Cảnh báo học vụ
237,924,1,3,14,8,2,3.26,92,12,12,0,0,0,0,3,1,1,Thấp,Đang học
238,925,1,3,14,8,2,2.61,66,12,9,3,1,1,1,4,3,2,Trung bình,Đang học
239,2517,3,8,36,8,4,3.07,89,11,11,0,0,0,0,3,2,1,Thấp,Đang học
240,2518,3,8,36,8,4,1.1,82,11,6,16,7,7,4,5,2,4,Cao,Cảnh báo học vụ
241,2699,3,8,38,8,2,3.29,88,11,11,0,0,0,0,3,2,1,Thấp,Đang học
242,2700,3,8,38,8,2,3.29,89,11,11,0,0,0,0,3,2,1,Thấp,Đang học
243,2701,3,8,38,8,2,3.24,79,11,11,0,0,0,0,2,3,1,Thấp,Đang học
244,2702,3,8,38,8,2,2.48,86,11,8,3,1,1,1,4,2,2,Trung bình,Đang học
245,2703,3,8,38,8,2,3.33,90,11,11,0,0,0,0,3,1,1,Thấp,Đang học
246,2704,3,8,38,8,2,3.29,97,11,11,0,0,0,0,2,1,1,Thấp,Đang học
247,2689,3,8,38,8,2,2.52,78,11,9,2,1,1,1,5,3,2,Trung bình,Đang học
248,2690,3,8,38,8,2,2.81,93,11,9,2,1,1,0,4,1,1,Thấp,Đang học
249,2519,3,8,36,8,4,2.45,93,11,11,0,0,0,0,4,1,1,Trung bình,Đang học
250,2520,3,8,36,8,4,2.57,79,11,11,3,1,1,1,3,3,1,Trung bình,Đang học
251,2513,3,8,36,8,4,2.43,89,11,8,3,1,1,1,4,2,2,Trung bình,Đang học
252,2514,3,8,36,8,4,2.4,90,11,8,3,2,2,2,5,1,2,Trung bình,Đang học
253,2515,3,8,36,8,4,2.81,85,11,11,0,0,0,0,4,2,1,Thấp,Đang học
254,2516,3,8,36,8,4,2.5,80,11,8,3,1,1,1,5,2,3,Trung bình,Đang học
255,926,1,3,14,8,2,3.35,74,12,12,0,0,0,0,3,3,1,Thấp,Đang học
256,927,1,3,14,8,2,3.09,60,12,9,3,1,1,1,4,4,2,Trung bình,Đang học
257,2707,3,8,38,8,2,2.81,75,11,11,0,0,0,0,3,3,1,Thấp,Đang học
258,2708,3,8,38,8,2,3.0,95,11,11,0,0,0,0,3,1,1,Thấp,Đang học
259,2709,3,8,38,8,2,3.05,86,11,11,0,0,0,0,3,2,1,Thấp,Đang học
260,2710,3,8,38,8,2,3.33,94,11,11,0,0,0,0,3,1,1,Thấp,Đang học
261,2711,3,8,38,8,2,3.33,94,11,11,0,0,0,0,3,1,1,Thấp,Đang học
262,2712,3,8,38,8,2,2.43,89,11,8,3,1,1,1,5,2,2,Trung bình,Đang học
263,2697,3,8,38,8,2,3.57,94,11,11,0,0,0,0,2,1,1,Thấp,Đang học
264,2698,3,8,38,8,2,3.24,84,11,11,0,0,0,0,2,2,1,Thấp,Cảnh báo học vụ
265,928,1,3,14,8,2,3.22,82,12,12,0,0,0,0,3,2,1,Thấp,Đang học
266,929,1,3,14,8,2,2.61,75,12,12,0,0,0,0,4,3,1,Thấp,Đang học
267,930,1,3,14,8,2,3.0,84,12,12,0,0,0,0,2,2,1,Thấp,Đang học
268,931,1,3,14,8,2,2.96,79,12,12,0,0,0,0,2,3,1,Thấp,Đang học
269,932,1,3,14,8,2,2.48,69,12,12,3,1,1,1,3,3,1,Trung bình,Đang học
270,933,1,3,14,8,2,2.96,78,12,9,3,1,1,1,3,3,2,Trung bình,Đang học
271,2509,3,8,36,8,4,2.57,82,11,11,0,0,0,0,4,2,1,Thấp,Đang học
