TongKetHocKyKey,SinhVienKey,KhoaKey,NganhKey,LopKey,HocKyKey,TongSoTinChiDangKy,TongSoTinChiDat,TongSoTinChiKhongDat,DiemTrungBinhHocKy,DiemTrungBinhTichLuy,DiemRenLuyen,XepLoaiHocTapKey,XepLoaiRenLuyenKey,CanhBaoKey,TrangThaiCanhBao,MucNguyCo,SoTinChiNoLuyKe,SoHocKyCanhBaoLienTiep
54,7,1,1,1,6,11,11,0,2.82,2.91,62,3,4,1,Không cảnh báo,Trung bình,0,0
55,7,1,1,1,7,11,11,0,3.55,3.0,75,2,3,1,Không cảnh báo,Thấp,0,0
56,7,1,1,1,8,8,8,0,3.25,3.02,97,2,1,1,Không cảnh báo,Thấp,0,0
57,8,1,1,1,1,11,11,0,2.73,2.73,74,3,3,1,Không cảnh báo,Thấp,0,0
58,8,1,1,1,2,12,6,6,1.75,2.22,72,5,3,3,Cảnh báo trung bình,Trung bình,6,1
59,8,1,1,1,3,12,9,3,1.5,1.97,67,5,3,3,Cảnh báo trung bình,Cao,9,2
60,8,1,1,1,4,12,12,0,2.25,2.04,83,4,2,1,Không cảnh báo,Cao,9,0
61,8,1,1,1,5,12,12,0,2.5,2.14,63,3,4,1,Không cảnh báo,Cao,9,0
62,8,1,1,1,6,11,9,2,2.18,2.14,65,4,3,1,Không cảnh báo,Cao,8,0
63,8,1,1,1,7,11,11,0,2.82,2.23,77,3,3,1,Không cảnh báo,Trung bình,4,0
64,8,1,1,1,8,8,8,0,3.0,2.3,78,3,3,1,Không cảnh báo,Trung bình,1,0
65,9,1,1,1,1,11,11,0,3.55,3.55,93,2,1,1,Không cảnh báo,Thấp,0,0
66,9,1,1,1,2,12,9,3,2.5,3.0,87,3,2,2,Cảnh báo nhẹ,Trung bình,3,1
67,9,1,1,1,3,12,12,0,2.75,2.91,73,3,3,1,Không cảnh báo,Thấp,1,0
68,9,1,1,1,4,12,12,0,3.0,2.94,74,3,3,1,Không cảnh báo,Thấp,0,0
69,9,1,1,1,5,12,12,0,3.5,3.05,87,2,2,1,Không cảnh báo,Thấp,0,0
70,9,1,1,1,6,11,11,0,3.45,3.11,77,2,3,1,Không cảnh báo,Thấp,0,0
71,9,1,1,1,7,11,11,0,2.82,3.07,94,3,1,1,Không cảnh báo,Thấp,0,0
72,9,1,1,1,8,8,8,0,4.0,3.16,74,1,3,1,Không cảnh báo,Thấp,0,0
73,10,1,1,1,1,11,11,0,3.0,3.0,80,3,2,1,Không cảnh báo,Thấp,0,0
74,10,1,1,1,2,12,9,3,2.75,2.87,85,3,2,2,Cảnh báo nhẹ,Trung bình,3,1
75,10,1,1,1,3,12,12,0,3.25,3.0,63,2,4,1,Không cảnh báo,Trung bình,0,0
76,10,1,1,1,4,12,9,3,2.0,2.74,70,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
77,10,1,1,1,5,12,12,0,3.25,2.85,91,2,1,1,Không cảnh báo,Trung bình,3,0
78,10,1,1,1,6,11,8,3,2.18,2.74,67,4,3,2,Cảnh báo nhẹ,Trung bình,4,1
79,10,1,1,1,7,11,11,0,3.27,2.81,87,2,2,1,Không cảnh báo,Trung bình,4,0
80,10,1,1,1,8,8,8,0,3.0,2.83,79,3,3,1,Không cảnh báo,Thấp,0,0
81,11,1,1,1,1,11,11,0,3.55,3.55,87,2,2,1,Không cảnh báo,Thấp,0,0
82,11,1,1,1,2,12,9,3,2.0,2.74,62,4,4,2,Cảnh báo nhẹ,Trung bình,3,1
83,11,1,1,1,3,12,12,0,3.25,2.91,71,2,3,1,Không cảnh báo,Trung bình,3,0
84,11,1,1,1,4,12,12,0,3.5,3.06,83,2,2,1,Không cảnh báo,Thấp,1,0
85,11,1,1,1,5,12,12,0,3.25,3.1,74,2,3,1,Không cảnh báo,Thấp,0,0
86,11,1,1,1,6,11,9,2,2.45,3.0,87,4,2,1,Không cảnh báo,Thấp,2,0
87,11,1,1,1,7,11,8,3,2.55,2.94,77,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
88,11,1,1,1,8,8,8,0,4.0,3.03,77,1,3,1,Không cảnh báo,Thấp,0,0
89,12,1,1,1,1,11,11,0,4.0,4.0,90,1,1,1,Không cảnh báo,Thấp,0,0
90,12,1,1,1,2,12,12,0,2.75,3.35,72,3,3,1,Không cảnh báo,Thấp,0,0
91,12,1,1,1,3,12,9,3,2.5,3.06,74,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
92,12,1,1,1,4,12,12,0,2.75,2.98,68,3,3,1,Không cảnh báo,Trung bình,1,0
93,12,1,1,1,5,12,12,0,3.25,3.03,74,2,3,1,Không cảnh báo,Thấp,0,0
94,12,1,1,1,6,11,11,0,3.27,3.07,73,2,3,1,Không cảnh báo,Thấp,0,0
95,12,1,1,1,7,11,9,2,2.73,3.02,74,3,3,1,Không cảnh báo,Thấp,2,0
96,12,1,1,1,8,8,8,0,4.0,3.11,74,1,3,1,Không cảnh báo,Thấp,0,0
97,13,1,1,1,1,11,8,3,2.73,2.73,82,3,2,2,Cảnh báo nhẹ,Trung bình,3,1
98,13,1,1,1,2,12,6,6,1.0,1.83,76,5,3,4,Cảnh báo nghiêm trọng,Cao,6,2
99,13,1,1,1,3,12,12,0,3.75,2.49,68,1,3,1,Không cảnh báo,Trung bình,6,0
100,13,1,1,1,4,12,12,0,3.0,2.62,73,3,3,1,Không cảnh báo,Trung bình,6,0
101,13,1,1,1,5,12,12,0,2.75,2.64,72,3,3,1,Không cảnh báo,Trung bình,6,0
102,13,1,1,1,6,11,6,5,1.09,2.4,81,5,2,4,Cảnh báo nghiêm trọng,Trung bình,5,1
103,13,1,1,1,7,11,11,0,3.45,2.54,72,2,3,1,Không cảnh báo,Thấp,2,0
104,13,1,1,1,8,8,8,0,3.75,2.65,76,1,3,1,Không cảnh báo,Thấp,2,0
105,14,1,1,1,1,11,11,0,3.0,3.0,72,3,3,1,Không cảnh báo,Thấp,0,0
106,14,1,1,1,2,12,9,3,2.0,2.48,74,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
107,14,1,1,1,3,12,12,0,2.75,2.57,68,3,3,1,Không cảnh báo,Trung bình,0,0
108,14,1,1,1,4,12,12,0,2.75,2.62,72,3,3,1,Không cảnh báo,Thấp,0,0
109,14,1,1,1,5,12,9,3,2.0,2.49,70,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
110,14,1,1,1,6,11,9,2,3.27,2.61,71,2,3,1,Không cảnh báo,Trung bình,5,0
111,14,1,1,1,7,11,7,4,1.55,2.47,55,5,4,3,Cảnh báo trung bình,Cao,9,1
112,14,1,1,1,8,8,8,0,3.25,2.54,72,2,3,1,Không cảnh báo,Cao,7,0
113,15,1,1,1,1,11,11,0,4.0,4.0,88,1,2,1,Không cảnh báo,Thấp,0,0
114,15,1,1,1,2,12,12,0,3.0,3.48,97,3,1,1,Không cảnh báo,Thấp,0,0
115,15,1,1,1,3,12,12,0,2.5,3.14,73,3,3,1,Không cảnh báo,Thấp,0,0
116,15,1,1,1,4,12,12,0,3.5,3.23,80,2,2,1,Không cảnh báo,Thấp,0,0
117,15,1,1,1,5,12,12,0,3.5,3.29,83,2,2,1,Không cảnh báo,Thấp,0,0
118,15,1,1,1,6,11,11,0,3.27,3.29,88,2,2,1,Không cảnh báo,Thấp,0,0
119,15,1,1,1,7,11,8,3,2.73,3.21,77,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
120,15,1,1,1,8,8,8,0,4.0,3.28,85,1,2,1,Không cảnh báo,Thấp,1,0
121,16,1,1,1,1,11,11,0,3.0,3.0,87,3,2,1,Không cảnh báo,Thấp,0,0
122,16,1,1,1,2,12,9,3,2.5,2.74,71,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
123,16,1,1,1,3,12,12,0,3.0,2.83,71,3,3,1,Không cảnh báo,Thấp,0,0
124,16,1,1,1,4,12,12,0,2.5,2.74,82,3,2,1,Không cảnh báo,Thấp,0,0
125,16,1,1,1,5,12,12,0,2.5,2.69,73,3,3,1,Không cảnh báo,Thấp,0,0
126,16,1,1,1,6,11,9,2,2.18,2.61,78,4,3,1,Không cảnh báo,Thấp,2,0
127,16,1,1,1,7,11,11,0,3.18,2.69,61,3,4,1,Không cảnh báo,Trung bình,2,0
128,16,1,1,1,8,8,8,0,3.25,2.74,69,2,3,1,Không cảnh báo,Trung bình,0,0
129,17,1,1,1,1,11,11,0,3.73,3.73,93,1,1,1,Không cảnh báo,Thấp,0,0
130,17,1,1,1,2,12,9,3,3.0,3.35,80,3,2,2,Cảnh báo nhẹ,Trung bình,3,1
131,17,1,1,1,3,12,12,0,3.25,3.31,85,2,2,1,Không cảnh báo,Trung bình,3,0
132,17,1,1,1,4,12,9,3,3.0,3.23,77,3,3,2,Cảnh báo nhẹ,Trung bình,6,1
133,17,1,1,1,5,12,9,3,1.75,2.93,58,5,4,3,Cảnh báo trung bình,Cao,9,2
134,17,1,1,1,6,11,11,0,2.64,2.89,75,3,3,1,Không cảnh báo,Trung bình,3,0
135,17,1,1,1,7,11,8,3,2.36,2.81,76,4,3,2,Cảnh báo nhẹ,Trung bình,4,1
136,17,1,1,1,8,8,8,0,3.0,2.83,72,3,3,1,Không cảnh báo,Thấp,0,0
137,18,1,1,1,1,11,11,0,3.55,3.55,86,2,2,1,Không cảnh báo,Thấp,0,0
138,18,1,1,1,2,12,12,0,3.25,3.39,78,2,3,1,Không cảnh báo,Thấp,0,0
139,18,1,1,1,3,12,12,0,3.0,3.26,88,3,2,1,Không cảnh báo,Thấp,0,0
140,18,1,1,1,4,12,12,0,4.0,3.45,79,1,3,1,Không cảnh báo,Thấp,0,0
141,18,1,1,1,5,12,12,0,3.75,3.51,81,1,2,1,Không cảnh báo,Thấp,0,0
142,18,1,1,1,6,11,11,0,3.0,3.43,89,3,2,1,Không cảnh báo,Thấp,0,0
143,18,1,1,1,7,11,11,0,3.36,3.42,84,2,2,1,Không cảnh báo,Thấp,0,0
144,18,1,1,1,8,8,8,0,3.25,3.4,79,2,3,1,Không cảnh báo,Thấp,0,0
145,19,1,1,1,1,11,11,0,3.55,3.55,95,2,1,1,Không cảnh báo,Thấp,0,0
146,19,1,1,1,2,12,12,0,3.0,3.26,79,3,3,1,Không cảnh báo,Thấp,0,0
147,19,1,1,1,3,12,12,0,2.75,3.09,72,3,3,1,Không cảnh báo,Thấp,0,0
148,19,1,1,1,4,12,9,3,1.75,2.74,72,5,3,3,Cảnh báo trung bình,Trung bình,3,1
149,19,1,1,1,5,12,12,0,3.0,2.8,83,3,2,1,Không cảnh báo,Trung bình,3,0
150,19,1,1,1,6,11,8,3,2.36,2.73,65,4,3,2,Cảnh báo nhẹ,Trung bình,6,1
151,19,1,1,1,7,11,11,0,2.82,2.74,77,3,3,1,Không cảnh báo,Trung bình,3,0
152,19,1,1,1,8,8,8,0,3.0,2.76,82,3,2,1,Không cảnh báo,Trung bình,3,0
153,20,1,1,1,1,11,11,0,3.45,3.45,88,2,2,1,Không cảnh báo,Thấp,0,0
154,20,1,1,1,2,12,6,6,1.25,2.3,68,5,3,4,Cảnh báo nghiêm trọng,Trung bình,6,1
155,20,1,1,1,3,12,9,3,1.75,2.11,70,5,3,3,Cảnh báo trung bình,Cao,9,2
156,20,1,1,1,4,12,12,0,3.0,2.34,79,3,3,1,Không cảnh báo,Cao,9,0
157,20,1,1,1,5,12,12,0,3.25,2.53,78,2,3,1,Không cảnh báo,Trung bình,6,0
158,20,1,1,1,6,11,8,3,2.0,2.44,59,4,4,2,Cảnh báo nhẹ,Trung bình,3,1
159,20,1,1,1,7,11,11,0,3.18,2.54,76,3,3,1,Không cảnh báo,Trung bình,3,0
160,20,1,1,1,8,8,8,0,2.5,2.54,70,3,3,1,Không cảnh báo,Trung bình,3,0
161,21,1,1,1,1,11,11,0,3.55,3.55,78,2,3,1,Không cảnh báo,Thấp,0,0
162,21,1,1,1,2,12,9,3,2.75,3.13,83,3,2,2,Cảnh báo nhẹ,Trung bình,3,1
163,21,1,1,1,3,12,9,3,3.0,3.09,81,3,2,2,Cảnh báo nhẹ,Cao,6,2
164,21,1,1,1,4,12,6,6,1.75,2.74,69,5,3,3,Cảnh báo trung bình,Cao,12,3
165,21,1,1,1,5,12,12,0,3.0,2.8,79,3,3,1,Không cảnh báo,Cao,12,0
166,21,1,1,1,6,11,11,0,3.45,2.9,87,2,2,1,Không cảnh báo,Trung bình,6,0
167,21,1,1,1,7,11,11,0,3.27,2.95,88,2,2,1,Không cảnh báo,Trung bình,4,0
168,21,1,1,1,8,8,8,0,4.0,3.04,74,1,3,1,Không cảnh báo,Thấp,2,0
169,22,1,1,1,1,11,11,0,2.91,2.91,85,3,2,1,Không cảnh báo,Thấp,0,0
170,22,1,1,1,2,12,9,3,2.5,2.7,75,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
171,22,1,1,1,3,12,9,3,2.5,2.63,80,3,2,2,Cảnh báo nhẹ,Cao,6,2
172,22,1,1,1,4,12,12,0,2.5,2.6,80,3,2,1,Không cảnh báo,Trung bình,4,0
173,22,1,1,1,5,12,12,0,3.25,2.73,78,2,3,1,Không cảnh báo,Trung bình,4,0
174,22,1,1,1,6,11,11,0,3.09,2.79,71,3,3,1,Không cảnh báo,Trung bình,4,0
175,22,1,1,1,7,11,11,0,3.55,2.89,96,2,1,1,Không cảnh báo,Thấp,1,0
176,22,1,1,1,8,8,8,0,3.25,2.92,76,2,3,1,Không cảnh báo,Thấp,0,0
177,23,1,1,1,1,11,11,0,3.45,3.45,77,2,3,1,Không cảnh báo,Thấp,0,0
178,23,1,1,1,2,12,9,3,2.5,2.96,75,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
179,23,1,1,1,3,12,12,0,2.5,2.8,88,3,2,1,Không cảnh báo,Trung bình,3,0
180,23,1,1,1,4,12,12,0,3.0,2.85,83,3,2,1,Không cảnh báo,Thấp,1,0
181,23,1,1,1,5,12,12,0,3.5,2.98,80,2,2,1,Không cảnh báo,Thấp,1,0
182,23,1,1,1,6,11,3,8,0.82,2.64,74,5,3,4,Cảnh báo nghiêm trọng,Cao,9,1
183,23,1,1,1,7,11,11,0,3.55,2.77,70,2,3,1,Không cảnh báo,Cao,9,0
184,23,1,1,1,8,8,8,0,3.25,2.81,74,2,3,1,Không cảnh báo,Cao,9,0
185,24,1,1,1,1,11,8,3,2.91,2.91,71,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
186,24,1,1,1,2,12,12,0,3.5,3.22,87,2,2,1,Không cảnh báo,Thấp,0,0
187,24,1,1,1,3,12,12,0,3.25,3.23,84,2,2,1,Không cảnh báo,Thấp,0,0
188,24,1,1,1,4,12,6,6,1.75,2.85,69,5,3,3,Cảnh báo trung bình,Trung bình,6,1
189,24,1,1,1,5,12,9,3,2.75,2.83,85,3,2,2,Cảnh báo nhẹ,Cao,9,2
190,24,1,1,1,6,11,11,0,3.45,2.93,84,2,2,1,Không cảnh báo,Cao,9,0
191,24,1,1,1,7,11,11,0,2.82,2.91,81,3,2,1,Không cảnh báo,Cao,9,0
192,24,1,1,1,8,8,8,0,3.75,2.99,83,1,2,1,Không cảnh báo,Cao,9,0
193,25,1,1,1,1,11,11,0,3.82,3.82,92,1,1,1,Không cảnh báo,Thấp,0,0
194,25,1,1,1,2,12,12,0,3.0,3.39,84,3,2,1,Không cảnh báo,Thấp,0,0
195,25,1,1,1,3,12,12,0,3.25,3.34,85,2,2,1,Không cảnh báo,Thấp,0,0
196,25,1,1,1,4,12,12,0,3.5,3.38,87,2,2,1,Không cảnh báo,Thấp,0,0
197,25,1,1,1,5,12,12,0,3.25,3.36,86,2,2,1,Không cảnh báo,Thấp,0,0
198,25,1,1,1,6,11,11,0,3.55,3.39,73,2,3,1,Không cảnh báo,Thấp,0,0
199,25,1,1,1,7,11,11,0,2.55,3.27,64,3,4,1,Không cảnh báo,Trung bình,0,0
200,25,1,1,1,8,8,8,0,4.0,3.34,85,1,2,1,Không cảnh báo,Thấp,0,0
201,26,1,1,1,1,11,11,0,2.91,2.91,73,3,3,1,Không cảnh báo,Thấp,0,0
202,26,1,1,1,2,12,12,0,2.75,2.83,79,3,3,1,Không cảnh báo,Thấp,0,0
203,26,1,1,1,3,12,12,0,3.0,2.89,76,3,3,1,Không cảnh báo,Thấp,0,0
204,26,1,1,1,4,12,12,0,3.25,2.98,76,2,3,1,Không cảnh báo,Thấp,0,0
205,26,1,1,1,5,12,12,0,3.5,3.08,92,2,1,1,Không cảnh báo,Thấp,0,0
206,26,1,1,1,6,11,11,0,3.0,3.07,90,3,1,1,Không cảnh báo,Thấp,0,0
207,26,1,1,1,7,11,11,0,3.36,3.11,80,2,2,1,Không cảnh báo,Thấp,0,0
208,26,1,1,1,8,8,8,0,3.0,3.1,76,3,3,1,Không cảnh báo,Thấp,0,0
209,27,1,1,1,1,11,11,0,3.18,3.18,70,3,3,1,Không cảnh báo,Thấp,0,0
210,27,1,1,1,2,12,12,0,2.75,2.96,76,3,3,1,Không cảnh báo,Thấp,0,0
211,27,1,1,1,3,12,12,0,3.25,3.06,78,2,3,1,Không cảnh báo,Thấp,0,0
212,27,1,1,1,4,12,12,0,2.75,2.98,78,3,3,1,Không cảnh báo,Thấp,0,0
213,27,1,1,1,5,12,9,3,2.25,2.83,87,4,2,2,Cảnh báo nhẹ,Trung bình,3,1
214,27,1,1,1,6,11,11,0,3.55,2.94,84,2,2,1,Không cảnh báo,Trung bình,3,0
215,27,1,1,1,7,11,11,0,3.64,3.04,82,1,2,1,Không cảnh báo,Thấp,0,0
216,27,1,1,1,8,8,8,0,3.25,3.06,80,2,2,1,Không cảnh báo,Thấp,0,0
217,28,1,1,1,1,11,11,0,3.09,3.09,78,3,3,1,Không cảnh báo,Thấp,0,0
218,28,1,1,1,2,12,12,0,2.75,2.91,70,3,3,1,Không cảnh báo,Thấp,0,0
219,28,1,1,1,3,12,12,0,2.75,2.86,81,3,2,1,Không cảnh báo,Thấp,0,0
220,28,1,1,1,4,12,9,3,2.75,2.83,80,3,2,2,Cảnh báo nhẹ,Trung bình,3,1
221,28,1,1,1,5,12,12,0,3.0,2.86,72,3,3,1,Không cảnh báo,Thấp,0,0
222,28,1,1,1,6,11,8,3,2.18,2.76,60,4,4,2,Cảnh báo nhẹ,Trung bình,3,1
223,28,1,1,1,7,11,9,2,3.0,2.79,84,3,2,1,Không cảnh báo,Trung bình,5,0
224,28,1,1,1,8,8,8,0,3.0,2.81,69,3,3,1,Không cảnh báo,Trung bình,5,0
225,29,1,1,1,1,11,11,0,3.0,3.0,81,3,2,1,Không cảnh báo,Thấp,0,0
226,29,1,1,1,2,12,12,0,3.0,3.0,76,3,3,1,Không cảnh báo,Thấp,0,0
227,29,1,1,1,3,12,9,3,2.25,2.74,81,4,2,2,Cảnh báo nhẹ,Trung bình,3,1
228,29,1,1,1,4,12,12,0,2.75,2.74,71,3,3,1,Không cảnh báo,Trung bình,3,0
229,29,1,1,1,5,12,12,0,3.25,2.85,81,2,2,1,Không cảnh báo,Trung bình,3,0
230,29,1,1,1,6,11,11,0,3.09,2.89,74,3,3,1,Không cảnh báo,Thấp,0,0
231,29,1,1,1,7,11,11,0,3.64,2.99,75,1,3,1,Không cảnh báo,Thấp,0,0
232,29,1,1,1,8,8,8,0,3.25,3.01,81,2,2,1,Không cảnh báo,Thấp,0,0
233,30,1,1,1,1,11,11,0,3.0,3.0,77,3,3,1,Không cảnh báo,Thấp,0,0
234,30,1,1,1,2,12,6,6,1.25,2.09,63,5,4,4,Cảnh báo nghiêm trọng,Trung bình,6,1
235,30,1,1,1,3,12,12,0,2.75,2.31,82,3,2,1,Không cảnh báo,Trung bình,4,0
236,30,1,1,1,4,12,12,0,3.25,2.55,80,2,2,1,Không cảnh báo,Thấp,0,0
237,30,1,1,1,5,12,12,0,2.25,2.49,74,4,3,1,Không cảnh báo,Trung bình,0,0
238,30,1,1,1,6,11,11,0,2.73,2.53,77,3,3,1,Không cảnh báo,Thấp,0,0
239,30,1,1,1,7,11,11,0,3.18,2.62,66,3,3,1,Không cảnh báo,Trung bình,0,0
240,30,1,1,1,8,8,8,0,3.25,2.67,73,2,3,1,Không cảnh báo,Thấp,0,0
241,31,1,1,1,1,11,11,0,3.09,3.09,94,3,1,1,Không cảnh báo,Thấp,0,0
242,31,1,1,1,2,12,9,3,2.25,2.65,82,4,2,2,Cảnh báo nhẹ,Trung bình,3,1
243,31,1,1,1,3,12,12,0,3.25,2.86,72,2,3,1,Không cảnh báo,Trung bình,3,0
244,31,1,1,1,4,12,12,0,2.5,2.77,74,3,3,1,Không cảnh báo,Thấp,1,0
245,31,1,1,1,5,12,12,0,3.0,2.81,84,3,2,1,Không cảnh báo,Thấp,0,0
246,31,1,1,1,6,11,11,0,3.0,2.84,74,3,3,1,Không cảnh báo,Thấp,0,0
247,31,1,1,1,7,11,8,3,2.91,2.85,69,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
248,31,1,1,1,8,8,8,0,3.75,2.93,81,1,2,1,Không cảnh báo,Thấp,1,0
249,32,1,1,1,1,11,8,3,2.91,2.91,83,3,2,2,Cảnh báo nhẹ,Trung bình,3,1
250,32,1,1,1,2,12,9,3,1.5,2.17,87,5,2,3,Cảnh báo trung bình,Cao,4,2
251,32,1,1,1,3,12,9,3,2.25,2.2,72,4,3,2,Cảnh báo nhẹ,Cao,7,3
252,32,1,1,1,4,12,12,0,3.0,2.4,72,3,3,1,Không cảnh báo,Cao,7,0
253,32,1,1,1,5,12,12,0,3.5,2.63,90,2,1,1,Không cảnh báo,Trung bình,4,0
254,32,1,1,1,6,11,11,0,3.09,2.7,72,3,3,1,Không cảnh báo,Trung bình,4,0
255,32,1,1,1,7,11,11,0,2.45,2.67,67,4,3,1,Không cảnh báo,Trung bình,0,0
